Batch Counter	Report Time	Min Node Rx Success	Grid Rx Success	Min Node Tx Success	Grid Tx Success
2	Wed Feb 06 23:00:36 EET 2013	1.0	1.0	1.0	1.0
2	Wed Feb 06 23:00:36 EET 2013	1.0	1.0	1.0	1.0
1	Wed Feb 06 23:06:50 EET 2013	1.0	1.0	1.0	1.0
1	Wed Feb 06 23:06:51 EET 2013	1.0	1.0	1.0	1.0
1	Wed Feb 06 23:09:22 EET 2013	1.0	1.0	1.0	1.0
1	Wed Feb 06 23:12:34 EET 2013	1.0	1.0	0.9982547993019197	0.9990766389658357
1	Wed Feb 06 23:12:35 EET 2013	1.0	1.0	0.9982608695652174	0.9990999099909991
2	Wed Feb 06 23:13:35 EET 2013	1.0	1.0	1.0	0.9990766389658357
2	Wed Feb 06 23:13:35 EET 2013	1.0	1.0	1.0	0.9990999099909991
