Batch Counter	Report Time	JVM Uptime	Node Id	GC Name	CollectionCount	Delta Collection Count	CollectionTime	Delta Collection Time	Last GC Start Time	Last GC Duration Millis	Heap Committed	Heap Init	Heap Max	Heap Used
88	Thu Feb 07 01:00:48 EET 2013	5306898	1	Garbage collection optimized for throughput Old Collector	3	0.0	120	0.0	4585396	24.0	67108864	67108864	3221225472	47745664
88	Thu Feb 07 01:00:48 EET 2013	5304692	2	Garbage collection optimized for throughput Old Collector	3	0.0	280	0.0	4525813	40.0	67108864	67108864	3221225472	49651104
88	Thu Feb 07 01:00:48 EET 2013	5306901	1	Garbage collection optimized for throughput Young Collector	68	0.0	440	0.0	5246748	18.0	67108864	67108864	3221225472	48794224
88	Thu Feb 07 01:00:48 EET 2013	5304692	2	Garbage collection optimized for throughput Young Collector	68	0.0	549	0.0	5187349	4.0	67108864	67108864	3221225472	49651104
88	Thu Feb 07 01:00:51 EET 2013	5309678	1	Garbage collection optimized for throughput Old Collector	3	0.0	120	0.0	4585396	24.0	67108864	67108864	3221225472	42386280
88	Thu Feb 07 01:00:51 EET 2013	5307550	2	Garbage collection optimized for throughput Old Collector	3	0.0	280	0.0	4525813	40.0	67108864	67108864	3221225472	39142920
88	Thu Feb 07 01:00:51 EET 2013	5309678	1	Garbage collection optimized for throughput Young Collector	69	1.0	471	31.0	5306912	32.0	67108864	67108864	3221225472	42386280
88	Thu Feb 07 01:00:51 EET 2013	5307553	2	Garbage collection optimized for throughput Young Collector	69	1.0	556	7.0	5307501	7.0	67108864	67108864	3221225472	39142920
89	Thu Feb 07 01:01:48 EET 2013	5367049	1	Garbage collection optimized for throughput Old Collector	3	0.0	120	0.0	4585396	24.0	67108864	67108864	3221225472	44879544
89	Thu Feb 07 01:01:48 EET 2013	5364851	2	Garbage collection optimized for throughput Old Collector	3	0.0	280	0.0	4525813	40.0	67108864	67108864	3221225472	50570560
89	Thu Feb 07 01:01:48 EET 2013	5367058	1	Garbage collection optimized for throughput Young Collector	69	1.0	471	31.0	5306912	32.0	67108864	67108864	3221225472	48535856
89	Thu Feb 07 01:01:48 EET 2013	5364851	2	Garbage collection optimized for throughput Young Collector	69	1.0	556	7.0	5307501	7.0	67108864	67108864	3221225472	50570560
89	Thu Feb 07 01:01:51 EET 2013	5369814	1	Garbage collection optimized for throughput Old Collector	3	0.0	120	0.0	4585396	24.0	67108864	67108864	3221225472	40491656
89	Thu Feb 07 01:01:51 EET 2013	5367686	2	Garbage collection optimized for throughput Old Collector	3	0.0	280	0.0	4525813	40.0	67108864	67108864	3221225472	36339576
89	Thu Feb 07 01:01:51 EET 2013	5369814	1	Garbage collection optimized for throughput Young Collector	70	1.0	475	4.0	5367080	3.0	67108864	67108864	3221225472	40491656
89	Thu Feb 07 01:01:51 EET 2013	5367689	2	Garbage collection optimized for throughput Young Collector	70	1.0	560	4.0	5367659	3.0	67108864	67108864	3221225472	36339576
90	Thu Feb 07 01:02:48 EET 2013	5427181	1	Garbage collection optimized for throughput Old Collector	3	0.0	120	0.0	4585409	24.0	67108864	67108864	3221225472	43588064
90	Thu Feb 07 01:02:48 EET 2013	5425016	2	Garbage collection optimized for throughput Old Collector	3	0.0	280	0.0	4525826	40.0	67108864	67108864	3221225472	44291688
90	Thu Feb 07 01:02:48 EET 2013	5427198	1	Garbage collection optimized for throughput Young Collector	70	1.0	475	4.0	5367094	3.0	67108864	67108864	3221225472	43588064
90	Thu Feb 07 01:02:48 EET 2013	5425016	2	Garbage collection optimized for throughput Young Collector	70	1.0	560	4.0	5367673	3.0	67108864	67108864	3221225472	44291688
90	Thu Feb 07 01:02:51 EET 2013	5429934	1	Garbage collection optimized for throughput Old Collector	3	0.0	120	0.0	4585409	24.0	67108864	67108864	3221225472	40112608
90	Thu Feb 07 01:02:51 EET 2013	5427799	2	Garbage collection optimized for throughput Old Collector	3	0.0	280	0.0	4525826	40.0	67108864	67108864	3221225472	51399880
90	Thu Feb 07 01:02:51 EET 2013	5429934	1	Garbage collection optimized for throughput Young Collector	71	1.0	480	5.0	5427251	5.0	67108864	67108864	3221225472	40112608
90	Thu Feb 07 01:02:51 EET 2013	5427802	2	Garbage collection optimized for throughput Young Collector	70	0.0	560	0.0	5367673	3.0	67108864	67108864	3221225472	33286368
91	Thu Feb 07 01:03:48 EET 2013	5487313	1	Garbage collection optimized for throughput Old Collector	3	0.0	120	0.0	4585409	24.0	67108864	67108864	3221225472	44549304
91	Thu Feb 07 01:03:48 EET 2013	5485110	2	Garbage collection optimized for throughput Old Collector	3	0.0	280	0.0	4525826	40.0	67108864	67108864	3221225472	44910488
91	Thu Feb 07 01:03:48 EET 2013	5487316	1	Garbage collection optimized for throughput Young Collector	71	1.0	480	5.0	5427251	5.0	67108864	67108864	3221225472	44549304
91	Thu Feb 07 01:03:48 EET 2013	5485110	2	Garbage collection optimized for throughput Young Collector	71	1.0	565	5.0	5427802	5.0	67108864	67108864	3221225472	44910488
91	Thu Feb 07 01:03:51 EET 2013	5490050	1	Garbage collection optimized for throughput Old Collector	3	0.0	120	0.0	4585409	24.0	67108864	67108864	3221225472	51841808
91	Thu Feb 07 01:03:51 EET 2013	5487918	2	Garbage collection optimized for throughput Old Collector	3	0.0	280	0.0	4525826	40.0	67108864	67108864	3221225472	50947824
91	Thu Feb 07 01:03:51 EET 2013	5490050	1	Garbage collection optimized for throughput Young Collector	71	0.0	480	0.0	5427251	5.0	67108864	67108864	3221225472	51841808
91	Thu Feb 07 01:03:51 EET 2013	5487921	2	Garbage collection optimized for throughput Young Collector	71	0.0	565	0.0	5427802	5.0	67108864	67108864	3221225472	51996384
92	Thu Feb 07 01:04:48 EET 2013	5547427	1	Garbage collection optimized for throughput Old Collector	3	0.0	120	0.0	4585409	24.0	67108864	67108864	3221225472	41222464
