Batch Counter	Report Time	JVM Uptime	Node Id	GC Name	CollectionCount	Delta Collection Count	CollectionTime	Delta Collection Time	Last GC Start Time	Last GC Duration Millis	Heap Committed	Heap Init	Heap Max	Heap Used
28	Thu Feb 07 00:00:40 EET 2013	1699141	1	Garbage collection optimized for throughput Old Collector	1	0.0	39	0.0	1097637	20.0	67108864	67108864	3221225472	50846632
28	Thu Feb 07 00:00:40 EET 2013	1696932	2	Garbage collection optimized for throughput Old Collector	1	0.0	162	0.0	1095530	81.0	67108864	67108864	3221225472	44959408
28	Thu Feb 07 00:00:40 EET 2013	1699144	1	Garbage collection optimized for throughput Young Collector	20	0.0	184	0.0	1638986	5.0	67108864	67108864	3221225472	50846632
28	Thu Feb 07 00:00:40 EET 2013	1696932	2	Garbage collection optimized for throughput Young Collector	20	1.0	261	5.0	1638920	5.0	67108864	67108864	3221225472	44959408
28	Thu Feb 07 00:00:42 EET 2013	1701221	1	Garbage collection optimized for throughput Old Collector	1	0.0	39	0.0	1097637	20.0	67108864	67108864	3221225472	43281808
28	Thu Feb 07 00:00:42 EET 2013	1699106	2	Garbage collection optimized for throughput Old Collector	1	0.0	162	0.0	1095530	81.0	67108864	67108864	3221225472	51048624
28	Thu Feb 07 00:00:42 EET 2013	1701221	1	Garbage collection optimized for throughput Young Collector	21	1.0	195	11.0	1699171	10.0	67108864	67108864	3221225472	43281808
28	Thu Feb 07 00:00:42 EET 2013	1699109	2	Garbage collection optimized for throughput Young Collector	20	0.0	261	0.0	1638920	5.0	67108864	67108864	3221225472	51048624
29	Thu Feb 07 00:01:40 EET 2013	1759291	1	Garbage collection optimized for throughput Old Collector	1	0.0	39	0.0	1097637	20.0	67108864	67108864	3221225472	45832488
29	Thu Feb 07 00:01:40 EET 2013	1757088	2	Garbage collection optimized for throughput Old Collector	1	0.0	162	0.0	1095530	81.0	67108864	67108864	3221225472	45324016
29	Thu Feb 07 00:01:40 EET 2013	1759294	1	Garbage collection optimized for throughput Young Collector	21	1.0	195	11.0	1699171	10.0	67108864	67108864	3221225472	45832488
29	Thu Feb 07 00:01:40 EET 2013	1757088	2	Garbage collection optimized for throughput Young Collector	21	1.0	266	5.0	1699125	5.0	67108864	67108864	3221225472	45324016
29	Thu Feb 07 00:01:42 EET 2013	1761377	1	Garbage collection optimized for throughput Old Collector	1	0.0	39	0.0	1097637	20.0	67108864	67108864	3221225472	53740544
29	Thu Feb 07 00:01:42 EET 2013	1759252	2	Garbage collection optimized for throughput Old Collector	1	0.0	162	0.0	1095530	81.0	67108864	67108864	3221225472	46096536
29	Thu Feb 07 00:01:42 EET 2013	1761377	1	Garbage collection optimized for throughput Young Collector	21	0.0	195	0.0	1699171	10.0	67108864	67108864	3221225472	53740544
29	Thu Feb 07 00:01:42 EET 2013	1759256	2	Garbage collection optimized for throughput Young Collector	21	1.0	266	5.0	1699125	5.0	67108864	67108864	3221225472	46096536
