Batch Counter	ReportTime	Service	Node Id	RefreshTime	Request Count	RequestPendingCount	RequestPendingDuration	Request Timeout Count	Task Count	TaskBacklog	Task Timeout Count	Task Hung Count	Thread Abandoned Count
1	Wed Feb 06 23:33:35 EET 2013	MyPartitionedService	1	Wed Feb 06 23:33:35 EET 2013	6	0	0	0	0	0	0	0	0
1	Wed Feb 06 23:33:35 EET 2013	MyPartitionedService	2	Wed Feb 06 23:33:35 EET 2013	10	0	0	0	0	0	0	0	0
1	Wed Feb 06 23:33:36 EET 2013	MyPartitionedService	1	Wed Feb 06 23:33:36 EET 2013	6	0	0	0	0	0	0	0	0
1	Wed Feb 06 23:33:36 EET 2013	MyPartitionedService	2	Wed Feb 06 23:33:36 EET 2013	10	0	0	0	0	0	0	0	0
2	Wed Feb 06 23:34:35 EET 2013	MyPartitionedService	1	Wed Feb 06 23:34:35 EET 2013	0.0	0	0	0.0	0.0	0	0.0	0	0.0
2	Wed Feb 06 23:34:35 EET 2013	MyPartitionedService	2	Wed Feb 06 23:34:35 EET 2013	0.0	0	0	0.0	0.0	0	0.0	0	0.0
2	Wed Feb 06 23:34:37 EET 2013	MyPartitionedService	1	Wed Feb 06 23:34:37 EET 2013	0.0	0	0	0.0	0.0	0	0.0	0	0.0
2	Wed Feb 06 23:34:37 EET 2013	MyPartitionedService	2	Wed Feb 06 23:34:37 EET 2013	0.0	0	0	0.0	0.0	0	0.0	0	0.0
3	Wed Feb 06 23:35:35 EET 2013	MyPartitionedService	1	Wed Feb 06 23:35:35 EET 2013	0.0	0	0	0.0	0.0	0	0.0	0	0.0
3	Wed Feb 06 23:35:35 EET 2013	MyPartitionedService	2	Wed Feb 06 23:35:35 EET 2013	0.0	0	0	0.0	0.0	0	0.0	0	0.0
3	Wed Feb 06 23:35:37 EET 2013	MyPartitionedService	1	Wed Feb 06 23:35:37 EET 2013	0.0	0	0	0.0	0.0	0	0.0	0	0.0
3	Wed Feb 06 23:35:37 EET 2013	MyPartitionedService	2	Wed Feb 06 23:35:37 EET 2013	0.0	0	0	0.0	0.0	0	0.0	0	0.0
4	Wed Feb 06 23:36:35 EET 2013	MyPartitionedService	1	Wed Feb 06 23:36:35 EET 2013	0.0	0	0	0.0	0.0	0	0.0	0	0.0
4	Wed Feb 06 23:36:35 EET 2013	MyPartitionedService	2	Wed Feb 06 23:36:35 EET 2013	0.0	0	0	0.0	0.0	0	0.0	0	0.0
4	Wed Feb 06 23:36:37 EET 2013	MyPartitionedService	1	Wed Feb 06 23:36:37 EET 2013	0.0	0	0	0.0	0.0	0	0.0	0	0.0
4	Wed Feb 06 23:36:37 EET 2013	MyPartitionedService	2	Wed Feb 06 23:36:37 EET 2013	0.0	0	0	0.0	0.0	0	0.0	0	0.0
5	Wed Feb 06 23:37:36 EET 2013	MyPartitionedService	1	Wed Feb 06 23:37:36 EET 2013	0.0	0	0	0.0	0.0	0	0.0	0	0.0
5	Wed Feb 06 23:37:36 EET 2013	MyPartitionedService	2	Wed Feb 06 23:37:35 EET 2013	0.0	0	0	0.0	0.0	0	0.0	0	0.0
5	Wed Feb 06 23:37:37 EET 2013	MyPartitionedService	1	Wed Feb 06 23:37:37 EET 2013	0.0	0	0	0.0	0.0	0	0.0	0	0.0
5	Wed Feb 06 23:37:37 EET 2013	MyPartitionedService	2	Wed Feb 06 23:37:37 EET 2013	0.0	0	0	0.0	0.0	0	0.0	0	0.0
6	Wed Feb 06 23:38:36 EET 2013	MyPartitionedService	1	Wed Feb 06 23:38:36 EET 2013	0.0	0	0	0.0	0.0	0	0.0	0	0.0
6	Wed Feb 06 23:38:36 EET 2013	MyPartitionedService	2	Wed Feb 06 23:38:36 EET 2013	0.0	0	0	0.0	0.0	0	0.0	0	0.0
6	Wed Feb 06 23:38:38 EET 2013	MyPartitionedService	1	Wed Feb 06 23:38:38 EET 2013	0.0	0	0	0.0	0.0	0	0.0	0	0.0
6	Wed Feb 06 23:38:38 EET 2013	MyPartitionedService	2	Wed Feb 06 23:38:38 EET 2013	0.0	0	0	0.0	0.0	0	0.0	0	0.0
7	Wed Feb 06 23:39:36 EET 2013	MyPartitionedService	1	Wed Feb 06 23:39:36 EET 2013	0.0	0	0	0.0	0.0	0	0.0	0	0.0
7	Wed Feb 06 23:39:36 EET 2013	MyPartitionedService	2	Wed Feb 06 23:39:36 EET 2013	0.0	0	0	0.0	0.0	0	0.0	0	0.0
