Batch Counter	ReportTime	RefreshPolicy	RefreshTime	RefreshExcessCount	RefreshCount	RefreshPredictionCount	RefreshTimeoutCount
1	Wed Feb 06 23:33:35 EET 2013	refresh-ahead	Wed Feb 06 23:33:35 EET 2013	8	8	0	0
1	Wed Feb 06 23:33:37 EET 2013	refresh-ahead	Wed Feb 06 23:33:37 EET 2013	6	6	0	0
2	Wed Feb 06 23:34:35 EET 2013	refresh-ahead	Wed Feb 06 23:34:35 EET 2013	8	10	7	0
2	Wed Feb 06 23:34:37 EET 2013	refresh-ahead	Wed Feb 06 23:34:37 EET 2013	6	7	5	0
3	Wed Feb 06 23:35:35 EET 2013	refresh-ahead	Wed Feb 06 23:35:35 EET 2013	8	11	14	0
3	Wed Feb 06 23:35:37 EET 2013	refresh-ahead	Wed Feb 06 23:35:37 EET 2013	6	8	10	0
4	Wed Feb 06 23:36:35 EET 2013	refresh-ahead	Wed Feb 06 23:36:35 EET 2013	8	12	21	0
4	Wed Feb 06 23:36:37 EET 2013	refresh-ahead	Wed Feb 06 23:36:37 EET 2013	6	9	15	0
5	Wed Feb 06 23:37:36 EET 2013	refresh-ahead	Wed Feb 06 23:37:36 EET 2013	8	13	28	0
5	Wed Feb 06 23:37:37 EET 2013	refresh-ahead	Wed Feb 06 23:37:37 EET 2013	6	10	20	0
6	Wed Feb 06 23:38:36 EET 2013	refresh-ahead	Wed Feb 06 23:38:36 EET 2013	8	14	35	0
6	Wed Feb 06 23:38:38 EET 2013	refresh-ahead	Wed Feb 06 23:38:38 EET 2013	6	12	25	0
7	Wed Feb 06 23:39:36 EET 2013	refresh-ahead	Wed Feb 06 23:39:36 EET 2013	8	15	42	0
7	Wed Feb 06 23:39:38 EET 2013	refresh-ahead	Wed Feb 06 23:39:38 EET 2013	6	13	30	0
8	Wed Feb 06 23:40:36 EET 2013	refresh-ahead	Wed Feb 06 23:40:36 EET 2013	8	16	49	0
8	Wed Feb 06 23:40:38 EET 2013	refresh-ahead	Wed Feb 06 23:40:38 EET 2013	6	14	35	0
9	Wed Feb 06 23:41:37 EET 2013	refresh-ahead	Wed Feb 06 23:41:37 EET 2013	8	17	56	0
9	Wed Feb 06 23:41:38 EET 2013	refresh-ahead	Wed Feb 06 23:41:38 EET 2013	6	15	40	0
10	Wed Feb 06 23:42:37 EET 2013	refresh-ahead	Wed Feb 06 23:42:37 EET 2013	8	18	63	0
10	Wed Feb 06 23:42:39 EET 2013	refresh-ahead	Wed Feb 06 23:42:39 EET 2013	6	16	45	0
11	Wed Feb 06 23:43:37 EET 2013	refresh-ahead	Wed Feb 06 23:43:37 EET 2013	8	19	70	0
11	Wed Feb 06 23:43:39 EET 2013	refresh-ahead	Wed Feb 06 23:43:39 EET 2013	6	18	50	0
12	Wed Feb 06 23:44:37 EET 2013	refresh-ahead	Wed Feb 06 23:44:37 EET 2013	8	21	77	0
12	Wed Feb 06 23:44:39 EET 2013	refresh-ahead	Wed Feb 06 23:44:39 EET 2013	6	19	55	0
13	Wed Feb 06 23:45:38 EET 2013	refresh-ahead	Wed Feb 06 23:45:38 EET 2013	8	22	84	0
13	Wed Feb 06 23:45:40 EET 2013	refresh-ahead	Wed Feb 06 23:45:40 EET 2013	6	20	60	0
14	Wed Feb 06 23:46:38 EET 2013	refresh-ahead	Wed Feb 06 23:46:38 EET 2013	8	23	91	0
14	Wed Feb 06 23:46:40 EET 2013	refresh-ahead	Wed Feb 06 23:46:40 EET 2013	6	21	65	0
15	Wed Feb 06 23:47:38 EET 2013	refresh-ahead	Wed Feb 06 23:47:38 EET 2013	8	25	98	0
15	Wed Feb 06 23:47:40 EET 2013	refresh-ahead	Wed Feb 06 23:47:40 EET 2013	6	22	70	0
16	Wed Feb 06 23:48:38 EET 2013	refresh-ahead	Wed Feb 06 23:48:38 EET 2013	8	26	105	0
16	Wed Feb 06 23:48:40 EET 2013	refresh-ahead	Wed Feb 06 23:48:40 EET 2013	6	23	75	0
17	Wed Feb 06 23:49:38 EET 2013	refresh-ahead	Wed Feb 06 23:49:38 EET 2013	8	27	112	0
17	Wed Feb 06 23:49:40 EET 2013	refresh-ahead	Wed Feb 06 23:49:40 EET 2013	6	24	80	0
18	Wed Feb 06 23:50:39 EET 2013	refresh-ahead	Wed Feb 06 23:50:39 EET 2013	8	29	119	0
18	Wed Feb 06 23:50:41 EET 2013	refresh-ahead	Wed Feb 06 23:50:41 EET 2013	6	25	85	0
19	Wed Feb 06 23:51:39 EET 2013	refresh-ahead	Wed Feb 06 23:51:39 EET 2013	8	30	126	0
19	Wed Feb 06 23:51:41 EET 2013	refresh-ahead	Wed Feb 06 23:51:41 EET 2013	6	26	90	0
20	Wed Feb 06 23:52:39 EET 2013	refresh-ahead	Wed Feb 06 23:52:39 EET 2013	8	31	133	0
20	Wed Feb 06 23:52:41 EET 2013	refresh-ahead	Wed Feb 06 23:52:41 EET 2013	6	27	95	0
21	Wed Feb 06 23:53:39 EET 2013	refresh-ahead	Wed Feb 06 23:53:39 EET 2013	8	32	140	0
21	Wed Feb 06 23:53:41 EET 2013	refresh-ahead	Wed Feb 06 23:53:41 EET 2013	6	28	100	0
22	Wed Feb 06 23:54:39 EET 2013	refresh-ahead	Wed Feb 06 23:54:39 EET 2013	8	33	147	0
22	Wed Feb 06 23:54:41 EET 2013	refresh-ahead	Wed Feb 06 23:54:41 EET 2013	6	29	105	0
23	Wed Feb 06 23:55:39 EET 2013	refresh-ahead	Wed Feb 06 23:55:39 EET 2013	8	34	154	0
23	Wed Feb 06 23:55:41 EET 2013	refresh-ahead	Wed Feb 06 23:55:41 EET 2013	6	30	110	0
24	Wed Feb 06 23:56:39 EET 2013	refresh-ahead	Wed Feb 06 23:56:39 EET 2013	8	35	161	0
24	Wed Feb 06 23:56:42 EET 2013	refresh-ahead	Wed Feb 06 23:56:42 EET 2013	6	31	115	0
25	Wed Feb 06 23:57:40 EET 2013	refresh-ahead	Wed Feb 06 23:57:40 EET 2013	8	36	168	0
25	Wed Feb 06 23:57:42 EET 2013	refresh-ahead	Wed Feb 06 23:57:42 EET 2013	6	32	120	0
26	Wed Feb 06 23:58:40 EET 2013	refresh-ahead	Wed Feb 06 23:58:40 EET 2013	8	38	175	0
26	Wed Feb 06 23:58:42 EET 2013	refresh-ahead	Wed Feb 06 23:58:42 EET 2013	6	33	125	0
27	Wed Feb 06 23:59:40 EET 2013	refresh-ahead	Wed Feb 06 23:59:40 EET 2013	8	39	182	0
27	Wed Feb 06 23:59:42 EET 2013	refresh-ahead	Wed Feb 06 23:59:42 EET 2013	6	34	130	0
