Batch Counter	ReportTime	RefreshPolicy	RefreshTime	RefreshExcessCount	RefreshCount	RefreshPredictionCount	RefreshTimeoutCount
150	Thu Feb 07 08:02:13 EET 2013	refresh-ahead	Thu Feb 07 08:02:13 EET 2013	6	172	740	0
150	Thu Feb 07 08:02:13 EET 2013	refresh-ahead	Thu Feb 07 08:02:13 EET 2013	8	171	1036	0
151	Thu Feb 07 08:04:53 EET 2013	refresh-ahead	Thu Feb 07 08:04:53 EET 2013	8	171	1036	0
151	Thu Feb 07 08:04:53 EET 2013	refresh-ahead	Thu Feb 07 08:04:53 EET 2013	6	172	740	0
152	Thu Feb 07 08:05:53 EET 2013	refresh-ahead	Thu Feb 07 08:05:53 EET 2013	8	171	1036	0
152	Thu Feb 07 08:05:53 EET 2013	refresh-ahead	Thu Feb 07 08:05:53 EET 2013	6	172	740	0
153	Thu Feb 07 08:06:53 EET 2013	refresh-ahead	Thu Feb 07 08:06:53 EET 2013	8	171	1036	0
153	Thu Feb 07 08:06:53 EET 2013	refresh-ahead	Thu Feb 07 08:06:53 EET 2013	6	172	740	0
154	Thu Feb 07 08:07:53 EET 2013	refresh-ahead	Thu Feb 07 08:07:53 EET 2013	8	171	1036	0
154	Thu Feb 07 08:07:53 EET 2013	refresh-ahead	Thu Feb 07 08:07:53 EET 2013	6	172	740	0
155	Thu Feb 07 08:08:53 EET 2013	refresh-ahead	Thu Feb 07 08:08:53 EET 2013	8	171	1036	0
155	Thu Feb 07 08:08:53 EET 2013	refresh-ahead	Thu Feb 07 08:08:53 EET 2013	6	172	740	0
156	Thu Feb 07 08:09:53 EET 2013	refresh-ahead	Thu Feb 07 08:09:53 EET 2013	8	171	1036	0
156	Thu Feb 07 08:09:53 EET 2013	refresh-ahead	Thu Feb 07 08:09:53 EET 2013	6	172	740	0
157	Thu Feb 07 08:10:53 EET 2013	refresh-ahead	Thu Feb 07 08:10:53 EET 2013	8	171	1036	0
157	Thu Feb 07 08:10:54 EET 2013	refresh-ahead	Thu Feb 07 08:10:54 EET 2013	6	172	740	0
158	Thu Feb 07 08:11:54 EET 2013	refresh-ahead	Thu Feb 07 08:11:54 EET 2013	8	171	1036	0
158	Thu Feb 07 08:11:54 EET 2013	refresh-ahead	Thu Feb 07 08:11:54 EET 2013	6	172	740	0
159	Thu Feb 07 08:12:54 EET 2013	refresh-ahead	Thu Feb 07 08:12:54 EET 2013	8	171	1036	0
159	Thu Feb 07 08:12:54 EET 2013	refresh-ahead	Thu Feb 07 08:12:54 EET 2013	6	172	740	0
160	Thu Feb 07 08:13:54 EET 2013	refresh-ahead	Thu Feb 07 08:13:54 EET 2013	8	171	1036	0
160	Thu Feb 07 08:13:54 EET 2013	refresh-ahead	Thu Feb 07 08:13:54 EET 2013	6	172	740	0
161	Thu Feb 07 08:14:54 EET 2013	refresh-ahead	Thu Feb 07 08:14:54 EET 2013	8	171	1036	0
161	Thu Feb 07 08:14:54 EET 2013	refresh-ahead	Thu Feb 07 08:14:54 EET 2013	6	172	740	0
162	Thu Feb 07 08:15:54 EET 2013	refresh-ahead	Thu Feb 07 08:15:54 EET 2013	8	171	1036	0
162	Thu Feb 07 08:15:54 EET 2013	refresh-ahead	Thu Feb 07 08:15:54 EET 2013	6	172	740	0
163	Thu Feb 07 08:16:54 EET 2013	refresh-ahead	Thu Feb 07 08:16:54 EET 2013	8	171	1036	0
163	Thu Feb 07 08:16:54 EET 2013	refresh-ahead	Thu Feb 07 08:16:54 EET 2013	6	172	740	0
164	Thu Feb 07 08:17:54 EET 2013	refresh-ahead	Thu Feb 07 08:17:54 EET 2013	8	171	1036	0
164	Thu Feb 07 08:17:54 EET 2013	refresh-ahead	Thu Feb 07 08:17:54 EET 2013	6	172	740	0
165	Thu Feb 07 08:18:54 EET 2013	refresh-ahead	Thu Feb 07 08:18:54 EET 2013	8	171	1036	0
165	Thu Feb 07 08:18:54 EET 2013	refresh-ahead	Thu Feb 07 08:18:54 EET 2013	6	172	740	0
166	Thu Feb 07 08:19:54 EET 2013	refresh-ahead	Thu Feb 07 08:19:54 EET 2013	8	171	1036	0
166	Thu Feb 07 08:19:55 EET 2013	refresh-ahead	Thu Feb 07 08:19:55 EET 2013	6	172	740	0
167	Thu Feb 07 08:20:54 EET 2013	refresh-ahead	Thu Feb 07 08:20:54 EET 2013	8	171	1036	0
167	Thu Feb 07 08:20:55 EET 2013	refresh-ahead	Thu Feb 07 08:20:55 EET 2013	6	172	740	0
168	Thu Feb 07 08:21:54 EET 2013	refresh-ahead	Thu Feb 07 08:21:54 EET 2013	8	171	1036	0
168	Thu Feb 07 08:21:55 EET 2013	refresh-ahead	Thu Feb 07 08:21:55 EET 2013	6	172	740	0
169	Thu Feb 07 08:22:55 EET 2013	refresh-ahead	Thu Feb 07 08:22:55 EET 2013	8	171	1036	0
169	Thu Feb 07 08:22:55 EET 2013	refresh-ahead	Thu Feb 07 08:22:55 EET 2013	6	172	740	0
170	Thu Feb 07 08:23:55 EET 2013	refresh-ahead	Thu Feb 07 08:23:55 EET 2013	8	171	1036	0
170	Thu Feb 07 08:23:55 EET 2013	refresh-ahead	Thu Feb 07 08:23:55 EET 2013	6	172	740	0
171	Thu Feb 07 08:24:55 EET 2013	refresh-ahead	Thu Feb 07 08:24:55 EET 2013	8	171	1036	0
