Batch Counter	ReportTime	RefreshPolicy	RefreshTime	RefreshExcessCount	RefreshCount	RefreshPredictionCount	RefreshTimeoutCount
207	Thu Feb 07 09:00:58 EET 2013	refresh-ahead	Thu Feb 07 09:00:58 EET 2013	8	171	1036	0
207	Thu Feb 07 09:00:58 EET 2013	refresh-ahead	Thu Feb 07 09:00:58 EET 2013	6	172	740	0
208	Thu Feb 07 09:01:58 EET 2013	refresh-ahead	Thu Feb 07 09:01:58 EET 2013	8	171	1036	0
208	Thu Feb 07 09:01:59 EET 2013	refresh-ahead	Thu Feb 07 09:01:59 EET 2013	6	172	740	0
209	Thu Feb 07 09:02:58 EET 2013	refresh-ahead	Thu Feb 07 09:02:58 EET 2013	8	171	1036	0
209	Thu Feb 07 09:02:59 EET 2013	refresh-ahead	Thu Feb 07 09:02:59 EET 2013	6	172	740	0
210	Thu Feb 07 09:03:58 EET 2013	refresh-ahead	Thu Feb 07 09:03:58 EET 2013	8	171	1036	0
210	Thu Feb 07 09:03:59 EET 2013	refresh-ahead	Thu Feb 07 09:03:59 EET 2013	6	172	740	0
211	Thu Feb 07 09:04:58 EET 2013	refresh-ahead	Thu Feb 07 09:04:58 EET 2013	8	171	1036	0
211	Thu Feb 07 09:04:59 EET 2013	refresh-ahead	Thu Feb 07 09:04:59 EET 2013	6	172	740	0
212	Thu Feb 07 09:05:59 EET 2013	refresh-ahead	Thu Feb 07 09:05:59 EET 2013	8	171	1036	0
212	Thu Feb 07 09:05:59 EET 2013	refresh-ahead	Thu Feb 07 09:05:59 EET 2013	6	172	740	0
213	Thu Feb 07 09:06:59 EET 2013	refresh-ahead	Thu Feb 07 09:06:59 EET 2013	8	171	1036	0
213	Thu Feb 07 09:06:59 EET 2013	refresh-ahead	Thu Feb 07 09:06:59 EET 2013	6	172	740	0
214	Thu Feb 07 09:07:59 EET 2013	refresh-ahead	Thu Feb 07 09:07:59 EET 2013	8	171	1036	0
214	Thu Feb 07 09:07:59 EET 2013	refresh-ahead	Thu Feb 07 09:07:59 EET 2013	6	172	740	0
215	Thu Feb 07 09:08:59 EET 2013	refresh-ahead	Thu Feb 07 09:08:59 EET 2013	8	171	1036	0
215	Thu Feb 07 09:08:59 EET 2013	refresh-ahead	Thu Feb 07 09:08:59 EET 2013	6	172	740	0
216	Thu Feb 07 09:09:59 EET 2013	refresh-ahead	Thu Feb 07 09:09:59 EET 2013	8	171	1036	0
216	Thu Feb 07 09:09:59 EET 2013	refresh-ahead	Thu Feb 07 09:09:59 EET 2013	6	172	740	0
217	Thu Feb 07 09:10:59 EET 2013	refresh-ahead	Thu Feb 07 09:10:59 EET 2013	8	171	1036	0
217	Thu Feb 07 09:10:59 EET 2013	refresh-ahead	Thu Feb 07 09:10:59 EET 2013	6	172	740	0
218	Thu Feb 07 09:11:59 EET 2013	refresh-ahead	Thu Feb 07 09:11:59 EET 2013	8	171	1036	0
218	Thu Feb 07 09:11:59 EET 2013	refresh-ahead	Thu Feb 07 09:11:59 EET 2013	6	172	740	0
219	Thu Feb 07 09:12:59 EET 2013	refresh-ahead	Thu Feb 07 09:12:59 EET 2013	8	171	1036	0
219	Thu Feb 07 09:12:59 EET 2013	refresh-ahead	Thu Feb 07 09:12:59 EET 2013	6	172	740	0
220	Thu Feb 07 09:13:59 EET 2013	refresh-ahead	Thu Feb 07 09:13:59 EET 2013	8	171	1036	0
220	Thu Feb 07 09:14:00 EET 2013	refresh-ahead	Thu Feb 07 09:14:00 EET 2013	6	172	740	0
221	Thu Feb 07 09:14:59 EET 2013	refresh-ahead	Thu Feb 07 09:14:59 EET 2013	8	171	1036	0
221	Thu Feb 07 09:15:00 EET 2013	refresh-ahead	Thu Feb 07 09:15:00 EET 2013	6	172	740	0
