Batch Counter	Report Time	RefreshTime	Node Id	Tx Success	Rx Success	PacketsSent	Current Packets Sent	PacketsResent	Current Packet Resent	PacketsRepeated	Current Repeated	PacketsReceived	Current Packets Received
1	Wed Feb 06 23:33:35 EET 2013	Wed Feb 06 23:33:35 EET 2013	1	1.0	1.0	167	167	0	0	0	0	186	186
1	Wed Feb 06 23:33:35 EET 2013	Wed Feb 06 23:33:34 EET 2013	2	1.0	1.0	107	107	0	0	0	0	183	183
1	Wed Feb 06 23:33:36 EET 2013	Wed Feb 06 23:33:36 EET 2013	1	1.0	1.0	178	178	0	0	0	0	210	210
1	Wed Feb 06 23:33:36 EET 2013	Wed Feb 06 23:33:36 EET 2013	2	1.0	1.0	133	133	0	0	0	0	199	199
2	Wed Feb 06 23:34:35 EET 2013	Wed Feb 06 23:34:35 EET 2013	1	1.0	1.0	270	103.0	0	0.0	0	0.0	285	99.0
2	Wed Feb 06 23:34:35 EET 2013	Wed Feb 06 23:34:35 EET 2013	2	1.0	1.0	143	36.0	0	0.0	0	0.0	279	96.0
2	Wed Feb 06 23:34:37 EET 2013	Wed Feb 06 23:34:37 EET 2013	1	1.0	1.0	273	95.0	0	0.0	0	0.0	304	94.0
2	Wed Feb 06 23:34:37 EET 2013	Wed Feb 06 23:34:37 EET 2013	2	1.0	1.0	171	38.0	0	0.0	0	0.0	309	110.0
3	Wed Feb 06 23:35:35 EET 2013	Wed Feb 06 23:35:35 EET 2013	1	1.0	1.0	360	90.0	0	0.0	0	0.0	390	105.0
3	Wed Feb 06 23:35:35 EET 2013	Wed Feb 06 23:35:35 EET 2013	2	1.0	1.0	173	30.0	0	0.0	0	0.0	370	91.0
3	Wed Feb 06 23:35:37 EET 2013	Wed Feb 06 23:35:37 EET 2013	1	1.0	1.0	362	89.0	0	0.0	0	0.0	393	89.0
3	Wed Feb 06 23:35:37 EET 2013	Wed Feb 06 23:35:37 EET 2013	2	1.0	1.0	200	29.0	0	0.0	0	0.0	398	89.0
4	Wed Feb 06 23:36:35 EET 2013	Wed Feb 06 23:36:35 EET 2013	1	1.0	1.0	450	90.0	0	0.0	0	0.0	479	89.0
4	Wed Feb 06 23:36:35 EET 2013	Wed Feb 06 23:36:35 EET 2013	2	1.0	1.0	202	29.0	0	0.0	0	0.0	459	89.0
4	Wed Feb 06 23:36:37 EET 2013	Wed Feb 06 23:36:37 EET 2013	1	1.0	1.0	452	90.0	0	0.0	0	0.0	482	89.0
4	Wed Feb 06 23:36:37 EET 2013	Wed Feb 06 23:36:37 EET 2013	2	1.0	1.0	229	29.0	0	0.0	0	0.0	488	90.0
5	Wed Feb 06 23:37:35 EET 2013	Wed Feb 06 23:37:35 EET 2013	1	1.0	1.0	540	90.0	0	0.0	0	0.0	569	90.0
5	Wed Feb 06 23:37:35 EET 2013	Wed Feb 06 23:37:35 EET 2013	2	1.0	1.0	231	29.0	0	0.0	0	0.0	549	90.0
5	Wed Feb 06 23:37:37 EET 2013	Wed Feb 06 23:37:37 EET 2013	1	1.0	1.0	541	89.0	0	0.0	0	0.0	571	89.0
5	Wed Feb 06 23:37:37 EET 2013	Wed Feb 06 23:37:37 EET 2013	2	1.0	1.0	258	29.0	0	0.0	0	0.0	577	89.0
6	Wed Feb 06 23:38:36 EET 2013	Wed Feb 06 23:38:36 EET 2013	1	1.0	1.0	629	89.0	0	0.0	0	0.0	658	89.0
6	Wed Feb 06 23:38:36 EET 2013	Wed Feb 06 23:38:36 EET 2013	2	1.0	1.0	260	29.0	0	0.0	0	0.0	639	90.0
6	Wed Feb 06 23:38:38 EET 2013	Wed Feb 06 23:38:38 EET 2013	1	1.0	1.0	632	91.0	0	0.0	0	0.0	661	90.0
6	Wed Feb 06 23:38:38 EET 2013	Wed Feb 06 23:38:38 EET 2013	2	1.0	1.0	287	29.0	0	0.0	0	0.0	668	91.0
7	Wed Feb 06 23:39:36 EET 2013	Wed Feb 06 23:39:36 EET 2013	1	1.0	1.0	719	89.0	0	0.0	0	0.0	748	90.0
7	Wed Feb 06 23:39:36 EET 2013	Wed Feb 06 23:39:36 EET 2013	2	1.0	1.0	290	30.0	0	0.0	0	0.0	729	90.0
7	Wed Feb 06 23:39:38 EET 2013	Wed Feb 06 23:39:38 EET 2013	1	1.0	1.0	721	89.0	0	0.0	0	0.0	751	90.0
7	Wed Feb 06 23:39:38 EET 2013	Wed Feb 06 23:39:38 EET 2013	2	1.0	1.0	317	30.0	0	0.0	0	0.0	757	89.0
8	Wed Feb 06 23:40:36 EET 2013	Wed Feb 06 23:40:36 EET 2013	1	1.0	1.0	808	89.0	0	0.0	0	0.0	837	89.0
8	Wed Feb 06 23:40:36 EET 2013	Wed Feb 06 23:40:36 EET 2013	2	1.0	1.0	319	29.0	0	0.0	0	0.0	818	89.0
8	Wed Feb 06 23:40:38 EET 2013	Wed Feb 06 23:40:38 EET 2013	1	1.0	1.0	810	89.0	0	0.0	0	0.0	840	89.0
8	Wed Feb 06 23:40:38 EET 2013	Wed Feb 06 23:40:38 EET 2013	2	1.0	1.0	347	30.0	0	0.0	0	0.0	846	89.0
9	Wed Feb 06 23:41:36 EET 2013	Wed Feb 06 23:41:36 EET 2013	1	1.0	1.0	897	89.0	0	0.0	0	0.0	926	89.0
9	Wed Feb 06 23:41:36 EET 2013	Wed Feb 06 23:41:36 EET 2013	2	1.0	1.0	349	30.0	0	0.0	0	0.0	907	89.0
9	Wed Feb 06 23:41:38 EET 2013	Wed Feb 06 23:41:38 EET 2013	1	1.0	1.0	899	89.0	0	0.0	0	0.0	930	90.0
9	Wed Feb 06 23:41:38 EET 2013	Wed Feb 06 23:41:38 EET 2013	2	1.0	1.0	376	29.0	0	0.0	0	0.0	935	89.0
10	Wed Feb 06 23:42:37 EET 2013	Wed Feb 06 23:42:37 EET 2013	1	1.0	1.0	988	91.0	0	0.0	0	0.0	1018	92.0
10	Wed Feb 06 23:42:37 EET 2013	Wed Feb 06 23:42:37 EET 2013	2	1.0	1.0	378	29.0	0	0.0	0	0.0	997	90.0
10	Wed Feb 06 23:42:39 EET 2013	Wed Feb 06 23:42:38 EET 2013	1	1.0	1.0	989	90.0	0	0.0	0	0.0	1020	90.0
10	Wed Feb 06 23:42:39 EET 2013	Wed Feb 06 23:42:39 EET 2013	2	1.0	1.0	406	30.0	0	0.0	0	0.0	1025	90.0
11	Wed Feb 06 23:43:37 EET 2013	Wed Feb 06 23:43:37 EET 2013	1	1.0	1.0	1078	90.0	0	0.0	0	0.0	1108	90.0
11	Wed Feb 06 23:43:37 EET 2013	Wed Feb 06 23:43:37 EET 2013	2	1.0	1.0	408	30.0	0	0.0	0	0.0	1087	90.0
11	Wed Feb 06 23:43:39 EET 2013	Wed Feb 06 23:43:39 EET 2013	1	1.0	1.0	1080	91.0	0	0.0	0	0.0	1111	91.0
11	Wed Feb 06 23:43:39 EET 2013	Wed Feb 06 23:43:39 EET 2013	2	1.0	1.0	436	30.0	0	0.0	0	0.0	1102	77.0
12	Wed Feb 06 23:44:37 EET 2013	Wed Feb 06 23:44:37 EET 2013	1	1.0	1.0	1167	89.0	0	0.0	0	0.0	1182	74.0
12	Wed Feb 06 23:44:37 EET 2013	Wed Feb 06 23:44:37 EET 2013	2	1.0	1.0	439	31.0	0	0.0	0	0.0	1177	90.0
12	Wed Feb 06 23:44:39 EET 2013	Wed Feb 06 23:44:39 EET 2013	1	1.0	1.0	1171	91.0	0	0.0	0	0.0	1202	91.0
12	Wed Feb 06 23:44:39 EET 2013	Wed Feb 06 23:44:39 EET 2013	2	1.0	1.0	468	32.0	0	0.0	0	0.0	1208	106.0
13	Wed Feb 06 23:45:37 EET 2013	Wed Feb 06 23:45:37 EET 2013	1	1.0	1.0	1259	91.0	0	0.0	0	0.0	1289	106.0
13	Wed Feb 06 23:45:37 EET 2013	Wed Feb 06 23:45:37 EET 2013	2	1.0	1.0	470	31.0	0	0.0	0	0.0	1269	92.0
13	Wed Feb 06 23:45:39 EET 2013	Wed Feb 06 23:45:39 EET 2013	1	1.0	1.0	1262	91.0	0	0.0	0	0.0	1292	90.0
13	Wed Feb 06 23:45:39 EET 2013	Wed Feb 06 23:45:39 EET 2013	2	1.0	1.0	497	29.0	0	0.0	0	0.0	1298	90.0
14	Wed Feb 06 23:46:38 EET 2013	Wed Feb 06 23:46:38 EET 2013	1	1.0	1.0	1350	91.0	0	0.0	0	0.0	1379	90.0
14	Wed Feb 06 23:46:38 EET 2013	Wed Feb 06 23:46:38 EET 2013	2	1.0	1.0	499	29.0	0	0.0	0	0.0	1360	91.0
14	Wed Feb 06 23:46:40 EET 2013	Wed Feb 06 23:46:40 EET 2013	1	1.0	1.0	1351	89.0	0	0.0	0	0.0	1381	89.0
14	Wed Feb 06 23:46:40 EET 2013	Wed Feb 06 23:46:40 EET 2013	2	1.0	1.0	526	29.0	0	0.0	0	0.0	1388	90.0
15	Wed Feb 06 23:47:38 EET 2013	Wed Feb 06 23:47:38 EET 2013	1	1.0	1.0	1439	89.0	0	0.0	0	0.0	1451	72.0
15	Wed Feb 06 23:47:38 EET 2013	Wed Feb 06 23:47:38 EET 2013	2	1.0	1.0	528	29.0	0	0.0	0	0.0	1449	89.0
15	Wed Feb 06 23:47:40 EET 2013	Wed Feb 06 23:47:40 EET 2013	1	1.0	1.0	1442	91.0	0	0.0	0	0.0	1471	90.0
15	Wed Feb 06 23:47:40 EET 2013	Wed Feb 06 23:47:40 EET 2013	2	1.0	1.0	556	30.0	0	0.0	0	0.0	1478	90.0
16	Wed Feb 06 23:48:38 EET 2013	Wed Feb 06 23:48:38 EET 2013	1	1.0	1.0	1529	90.0	0	0.0	0	0.0	1558	90.0
16	Wed Feb 06 23:48:38 EET 2013	Wed Feb 06 23:48:38 EET 2013	2	1.0	1.0	558	30.0	0	0.0	0	0.0	1539	90.0
16	Wed Feb 06 23:48:40 EET 2013	Wed Feb 06 23:48:40 EET 2013	1	1.0	1.0	1532	90.0	0	0.0	0	0.0	1561	90.0
16	Wed Feb 06 23:48:40 EET 2013	Wed Feb 06 23:48:40 EET 2013	2	1.0	1.0	585	29.0	0	0.0	0	0.0	1568	90.0
17	Wed Feb 06 23:49:38 EET 2013	Wed Feb 06 23:49:38 EET 2013	1	1.0	1.0	1619	90.0	0	0.0	0	0.0	1648	90.0
17	Wed Feb 06 23:49:38 EET 2013	Wed Feb 06 23:49:38 EET 2013	2	1.0	1.0	588	30.0	0	0.0	0	0.0	1629	90.0
17	Wed Feb 06 23:49:40 EET 2013	Wed Feb 06 23:49:40 EET 2013	1	1.0	1.0	1621	89.0	0	0.0	0	0.0	1651	90.0
17	Wed Feb 06 23:49:40 EET 2013	Wed Feb 06 23:49:40 EET 2013	2	1.0	1.0	615	29.0	0	0.0	0	0.0	1657	89.0
18	Wed Feb 06 23:50:38 EET 2013	Wed Feb 06 23:50:38 EET 2013	1	1.0	1.0	1708	89.0	0	0.0	0	0.0	1720	72.0
18	Wed Feb 06 23:50:38 EET 2013	Wed Feb 06 23:50:38 EET 2013	2	1.0	1.0	617	29.0	0	0.0	0	0.0	1718	89.0
18	Wed Feb 06 23:50:40 EET 2013	Wed Feb 06 23:50:40 EET 2013	1	1.0	1.0	1711	90.0	0	0.0	0	0.0	1742	91.0
18	Wed Feb 06 23:50:40 EET 2013	Wed Feb 06 23:50:41 EET 2013	2	1.0	1.0	646	31.0	0	0.0	0	0.0	1733	76.0
19	Wed Feb 06 23:51:39 EET 2013	Wed Feb 06 23:51:39 EET 2013	1	1.0	1.0	1801	93.0	0	0.0	0	0.0	1832	112.0
19	Wed Feb 06 23:51:39 EET 2013	Wed Feb 06 23:51:39 EET 2013	2	1.0	1.0	649	32.0	0	0.0	0	0.0	1810	92.0
