Batch Counter	Report Time	Min Node Rx Success	Grid Rx Success	Min Node Tx Success	Grid Tx Success
28	Thu Feb 07 00:00:40 EET 2013	1.0	1.0	1.0	1.0
28	Thu Feb 07 00:00:42 EET 2013	1.0	1.0	1.0	1.0
29	Thu Feb 07 00:01:40 EET 2013	1.0	1.0	1.0	1.0
29	Thu Feb 07 00:01:42 EET 2013	1.0	1.0	1.0	1.0
30	Thu Feb 07 00:02:40 EET 2013	1.0	1.0	1.0	1.0
30	Thu Feb 07 00:02:42 EET 2013	1.0	1.0	1.0	1.0
31	Thu Feb 07 00:03:40 EET 2013	1.0	1.0	1.0	1.0
31	Thu Feb 07 00:03:42 EET 2013	1.0	1.0	1.0	1.0
32	Thu Feb 07 00:04:40 EET 2013	1.0	1.0	1.0	1.0
32	Thu Feb 07 00:04:43 EET 2013	1.0	1.0	1.0	1.0
33	Thu Feb 07 00:05:41 EET 2013	1.0	1.0	1.0	1.0
33	Thu Feb 07 00:05:43 EET 2013	1.0	1.0	1.0	1.0
34	Thu Feb 07 00:06:41 EET 2013	1.0	1.0	1.0	1.0
34	Thu Feb 07 00:06:43 EET 2013	1.0	1.0	1.0	1.0
35	Thu Feb 07 00:07:41 EET 2013	1.0	1.0	1.0	1.0
35	Thu Feb 07 00:07:43 EET 2013	1.0	1.0	1.0	1.0
36	Thu Feb 07 00:08:41 EET 2013	1.0	1.0	1.0	1.0
36	Thu Feb 07 00:08:43 EET 2013	1.0	1.0	1.0	1.0
37	Thu Feb 07 00:09:41 EET 2013	1.0	1.0	1.0	1.0
37	Thu Feb 07 00:09:43 EET 2013	1.0	1.0	1.0	1.0
38	Thu Feb 07 00:10:41 EET 2013	1.0	1.0	1.0	1.0
38	Thu Feb 07 00:10:43 EET 2013	1.0	1.0	1.0	1.0
39	Thu Feb 07 00:11:41 EET 2013	1.0	1.0	1.0	1.0
39	Thu Feb 07 00:11:44 EET 2013	1.0	1.0	1.0	1.0
40	Thu Feb 07 00:12:41 EET 2013	1.0	1.0	1.0	1.0
40	Thu Feb 07 00:12:44 EET 2013	1.0	1.0	1.0	1.0
41	Thu Feb 07 00:13:42 EET 2013	1.0	1.0	1.0	1.0
41	Thu Feb 07 00:13:44 EET 2013	1.0	1.0	1.0	1.0
42	Thu Feb 07 00:14:42 EET 2013	1.0	1.0	1.0	1.0
42	Thu Feb 07 00:14:44 EET 2013	1.0	1.0	1.0	1.0
43	Thu Feb 07 00:15:42 EET 2013	1.0	1.0	1.0	1.0
43	Thu Feb 07 00:15:44 EET 2013	1.0	1.0	1.0	1.0
44	Thu Feb 07 00:16:42 EET 2013	1.0	1.0	1.0	1.0
44	Thu Feb 07 00:16:44 EET 2013	1.0	1.0	1.0	1.0
45	Thu Feb 07 00:17:42 EET 2013	1.0	1.0	1.0	1.0
45	Thu Feb 07 00:17:45 EET 2013	1.0	1.0	1.0	1.0
46	Thu Feb 07 00:18:42 EET 2013	1.0	1.0	1.0	1.0
46	Thu Feb 07 00:18:45 EET 2013	1.0	1.0	1.0	1.0
47	Thu Feb 07 00:19:42 EET 2013	1.0	1.0	1.0	1.0
47	Thu Feb 07 00:19:45 EET 2013	1.0	1.0	1.0	1.0
48	Thu Feb 07 00:20:43 EET 2013	1.0	1.0	1.0	1.0
48	Thu Feb 07 00:20:45 EET 2013	1.0	1.0	1.0	1.0
49	Thu Feb 07 00:21:43 EET 2013	1.0	1.0	1.0	1.0
49	Thu Feb 07 00:21:45 EET 2013	1.0	1.0	1.0	1.0
50	Thu Feb 07 00:22:43 EET 2013	1.0	1.0	1.0	1.0
50	Thu Feb 07 00:22:45 EET 2013	1.0	1.0	1.0	1.0
51	Thu Feb 07 00:23:43 EET 2013	1.0	1.0	1.0	1.0
51	Thu Feb 07 00:23:45 EET 2013	1.0	1.0	1.0	1.0
52	Thu Feb 07 00:24:43 EET 2013	1.0	1.0	1.0	1.0
52	Thu Feb 07 00:24:46 EET 2013	1.0	1.0	1.0	1.0
53	Thu Feb 07 00:25:43 EET 2013	1.0	1.0	1.0	1.0
53	Thu Feb 07 00:25:46 EET 2013	1.0	1.0	1.0	1.0
54	Thu Feb 07 00:26:43 EET 2013	1.0	1.0	1.0	1.0
54	Thu Feb 07 00:26:46 EET 2013	1.0	1.0	1.0	1.0
55	Thu Feb 07 00:27:43 EET 2013	1.0	1.0	1.0	1.0
55	Thu Feb 07 00:27:46 EET 2013	1.0	1.0	1.0	1.0
56	Thu Feb 07 00:28:44 EET 2013	1.0	1.0	1.0	1.0
56	Thu Feb 07 00:28:46 EET 2013	1.0	1.0	1.0	1.0
57	Thu Feb 07 00:29:44 EET 2013	1.0	1.0	1.0	1.0
57	Thu Feb 07 00:29:46 EET 2013	1.0	1.0	1.0	1.0
58	Thu Feb 07 00:30:44 EET 2013	1.0	1.0	1.0	1.0
58	Thu Feb 07 00:30:46 EET 2013	1.0	1.0	1.0	1.0
59	Thu Feb 07 00:31:44 EET 2013	1.0	1.0	1.0	1.0
59	Thu Feb 07 00:31:47 EET 2013	1.0	1.0	1.0	1.0
60	Thu Feb 07 00:32:44 EET 2013	1.0	1.0	1.0	1.0
60	Thu Feb 07 00:32:47 EET 2013	1.0	1.0	1.0	1.0
61	Thu Feb 07 00:33:44 EET 2013	1.0	1.0	1.0	1.0
61	Thu Feb 07 00:33:47 EET 2013	1.0	1.0	1.0	1.0
62	Thu Feb 07 00:34:44 EET 2013	1.0	1.0	1.0	1.0
62	Thu Feb 07 00:34:47 EET 2013	1.0	1.0	1.0	1.0
63	Thu Feb 07 00:35:44 EET 2013	1.0	1.0	1.0	1.0
63	Thu Feb 07 00:35:47 EET 2013	1.0	1.0	1.0	1.0
64	Thu Feb 07 00:36:45 EET 2013	1.0	1.0	1.0	1.0
64	Thu Feb 07 00:36:47 EET 2013	1.0	1.0	1.0	1.0
65	Thu Feb 07 00:37:45 EET 2013	1.0	1.0	1.0	1.0
65	Thu Feb 07 00:37:47 EET 2013	1.0	1.0	1.0	1.0
66	Thu Feb 07 00:38:45 EET 2013	1.0	1.0	1.0	1.0
66	Thu Feb 07 00:38:47 EET 2013	1.0	1.0	1.0	1.0
67	Thu Feb 07 00:39:45 EET 2013	1.0	1.0	1.0	1.0
67	Thu Feb 07 00:39:48 EET 2013	1.0	1.0	1.0	1.0
68	Thu Feb 07 00:40:45 EET 2013	1.0	1.0	1.0	1.0
68	Thu Feb 07 00:40:48 EET 2013	1.0	1.0	1.0	1.0
69	Thu Feb 07 00:41:45 EET 2013	1.0	1.0	1.0	1.0
69	Thu Feb 07 00:41:48 EET 2013	1.0	1.0	1.0	1.0
70	Thu Feb 07 00:42:45 EET 2013	1.0	1.0	1.0	1.0
70	Thu Feb 07 00:42:48 EET 2013	1.0	1.0	1.0	1.0
71	Thu Feb 07 00:43:45 EET 2013	1.0	1.0	1.0	1.0
71	Thu Feb 07 00:43:48 EET 2013	1.0	1.0	1.0	1.0
72	Thu Feb 07 00:44:46 EET 2013	1.0	1.0	1.0	1.0
72	Thu Feb 07 00:44:48 EET 2013	1.0	1.0	1.0	1.0
73	Thu Feb 07 00:45:46 EET 2013	1.0	1.0	1.0	1.0
73	Thu Feb 07 00:45:48 EET 2013	1.0	1.0	1.0	1.0
74	Thu Feb 07 00:46:46 EET 2013	1.0	1.0	1.0	1.0
74	Thu Feb 07 00:46:49 EET 2013	1.0	1.0	1.0	1.0
75	Thu Feb 07 00:47:46 EET 2013	1.0	1.0	1.0	1.0
75	Thu Feb 07 00:47:49 EET 2013	1.0	1.0	1.0	1.0
76	Thu Feb 07 00:48:46 EET 2013	1.0	1.0	1.0	1.0
76	Thu Feb 07 00:48:49 EET 2013	1.0	1.0	1.0	1.0
77	Thu Feb 07 00:49:46 EET 2013	1.0	1.0	1.0	1.0
77	Thu Feb 07 00:49:49 EET 2013	1.0	1.0	1.0	1.0
78	Thu Feb 07 00:50:46 EET 2013	1.0	1.0	1.0	1.0
78	Thu Feb 07 00:50:49 EET 2013	1.0	1.0	1.0	1.0
79	Thu Feb 07 00:51:47 EET 2013	1.0	1.0	1.0	1.0
79	Thu Feb 07 00:51:49 EET 2013	1.0	1.0	1.0	1.0
