Batch Counter	Report Time	Min Node Rx Success	Grid Rx Success	Min Node Tx Success	Grid Tx Success
80	Thu Feb 07 00:52:47 EET 2013	1.0	1.0	1.0	1.0
80	Thu Feb 07 00:52:49 EET 2013	1.0	1.0	1.0	1.0
81	Thu Feb 07 00:53:47 EET 2013	1.0	1.0	1.0	1.0
81	Thu Feb 07 00:53:50 EET 2013	1.0	1.0	1.0	1.0
82	Thu Feb 07 00:54:47 EET 2013	1.0	1.0	1.0	1.0
82	Thu Feb 07 00:54:50 EET 2013	1.0	1.0	1.0	1.0
83	Thu Feb 07 00:55:47 EET 2013	1.0	1.0	1.0	1.0
83	Thu Feb 07 00:55:50 EET 2013	1.0	1.0	1.0	1.0
84	Thu Feb 07 00:56:47 EET 2013	1.0	1.0	1.0	1.0
84	Thu Feb 07 00:56:50 EET 2013	1.0	1.0	1.0	1.0
85	Thu Feb 07 00:57:47 EET 2013	1.0	1.0	1.0	1.0
85	Thu Feb 07 00:57:50 EET 2013	1.0	1.0	1.0	1.0
86	Thu Feb 07 00:58:47 EET 2013	1.0	1.0	1.0	1.0
86	Thu Feb 07 00:58:50 EET 2013	1.0	1.0	1.0	1.0
87	Thu Feb 07 00:59:48 EET 2013	1.0	1.0	1.0	1.0
87	Thu Feb 07 00:59:50 EET 2013	1.0	1.0	1.0	1.0
