Batch Counter	Report Time	JVM Uptime	Node Id	GC Name	CollectionCount	Delta Collection Count	CollectionTime	Delta Collection Time	Last GC Start Time	Last GC Duration Millis	Heap Committed	Heap Init	Heap Max	Heap Used
5	Wed Feb 06 23:37:37 EET 2013	314387	2	Garbage collection optimized for throughput Young Collector	5	1.0	65	7.0	254236	7.0	67108864	67108864	3221225472	45689488
6	Wed Feb 06 23:38:36 EET 2013	374937	1	Garbage collection optimized for throughput Old Collector	0	0.0	0	0.0			67108864	67108864	3221225472	35648656
6	Wed Feb 06 23:38:36 EET 2013	372655	2	Garbage collection optimized for throughput Old Collector	0	0.0	0	0.0			67108864	67108864	3221225472	53587992
6	Wed Feb 06 23:38:36 EET 2013	374940	1	Garbage collection optimized for throughput Young Collector	6	1.0	94	5.0	374913	5.0	67108864	67108864	3221225472	37112024
6	Wed Feb 06 23:38:36 EET 2013	372655	2	Garbage collection optimized for throughput Young Collector	5	0.0	65	0.0	254236	7.0	67108864	67108864	3221225472	53587992
6	Wed Feb 06 23:38:38 EET 2013	376814	1	Garbage collection optimized for throughput Old Collector	0	0.0	0	0.0			67108864	67108864	3221225472	46720280
6	Wed Feb 06 23:38:38 EET 2013	374680	2	Garbage collection optimized for throughput Old Collector	0	0.0	0	0.0			67108864	67108864	3221225472	39285776
6	Wed Feb 06 23:38:38 EET 2013	376814	1	Garbage collection optimized for throughput Young Collector	6	1.0	94	5.0	374913	5.0	67108864	67108864	3221225472	46720280
6	Wed Feb 06 23:38:38 EET 2013	374685	2	Garbage collection optimized for throughput Young Collector	6	1.0	80	15.0	374635	16.0	67108864	67108864	3221225472	39285776
7	Wed Feb 06 23:39:36 EET 2013	435190	1	Garbage collection optimized for throughput Old Collector	0	0.0	0	0.0			67108864	67108864	3221225472	52875048
7	Wed Feb 06 23:39:36 EET 2013	432934	2	Garbage collection optimized for throughput Old Collector	0	0.0	0	0.0			67108864	67108864	3221225472	46937416
7	Wed Feb 06 23:39:36 EET 2013	435193	1	Garbage collection optimized for throughput Young Collector	6	0.0	94	0.0	374913	5.0	67108864	67108864	3221225472	52875048
7	Wed Feb 06 23:39:36 EET 2013	432934	2	Garbage collection optimized for throughput Young Collector	6	1.0	80	15.0	374635	16.0	67108864	67108864	3221225472	46937416
7	Wed Feb 06 23:39:38 EET 2013	437029	1	Garbage collection optimized for throughput Old Collector	0	0.0	0	0.0			67108864	67108864	3221225472	40313112
7	Wed Feb 06 23:39:38 EET 2013	434943	2	Garbage collection optimized for throughput Old Collector	0	0.0	0	0.0			67108864	67108864	3221225472	50974720
7	Wed Feb 06 23:39:38 EET 2013	437029	1	Garbage collection optimized for throughput Young Collector	7	1.0	103	9.0	435231	10.0	67108864	67108864	3221225472	40313112
7	Wed Feb 06 23:39:38 EET 2013	434948	2	Garbage collection optimized for throughput Young Collector	6	0.0	80	0.0	374635	16.0	67108864	67108864	3221225472	53073888
8	Wed Feb 06 23:40:36 EET 2013	495452	1	Garbage collection optimized for throughput Old Collector	0	0.0	0	0.0			67108864	67108864	3221225472	47332072
8	Wed Feb 06 23:40:36 EET 2013	493217	2	Garbage collection optimized for throughput Old Collector	0	0.0	0	0.0			67108864	67108864	3221225472	44182880
8	Wed Feb 06 23:40:36 EET 2013	495463	1	Garbage collection optimized for throughput Young Collector	7	1.0	103	9.0	435231	10.0	67108864	67108864	3221225472	47332072
8	Wed Feb 06 23:40:36 EET 2013	493217	2	Garbage collection optimized for throughput Young Collector	7	1.0	98	18.0	435005	18.0	67108864	67108864	3221225472	44182880
8	Wed Feb 06 23:40:38 EET 2013	497283	1	Garbage collection optimized for throughput Old Collector	0	0.0	0	0.0			67108864	67108864	3221225472	54103584
8	Wed Feb 06 23:40:38 EET 2013	495176	2	Garbage collection optimized for throughput Old Collector	0	0.0	0	0.0			67108864	67108864	3221225472	48165504
8	Wed Feb 06 23:40:38 EET 2013	497283	1	Garbage collection optimized for throughput Young Collector	7	0.0	103	0.0	435231	10.0	67108864	67108864	3221225472	54103584
8	Wed Feb 06 23:40:38 EET 2013	495179	2	Garbage collection optimized for throughput Young Collector	7	1.0	98	18.0	435005	18.0	67108864	67108864	3221225472	48165504
9	Wed Feb 06 23:41:36 EET 2013	555659	1	Garbage collection optimized for throughput Old Collector	0	0.0	0	0.0			67108864	67108864	3221225472	37685728
9	Wed Feb 06 23:41:36 EET 2013	553426	2	Garbage collection optimized for throughput Old Collector	0	0.0	0	0.0			67108864	67108864	3221225472	56012240
