Batch Counter	Report Time	RefreshTime	Node Id	Tx Success	Rx Success	PacketsSent	Current Packets Sent	PacketsResent	Current Packet Resent	PacketsRepeated	Current Repeated	PacketsReceived	Current Packets Received
148	Thu Feb 07 02:00:55 EET 2013	Thu Feb 07 02:00:55 EET 2013	1	1.0	1.0	13579	91.0	0	0.0	0	0.0	13617	92.0
148	Thu Feb 07 02:00:55 EET 2013	Thu Feb 07 02:00:55 EET 2013	2	1.0	1.0	4679	32.0	0	0.0	0	0.0	13589	91.0
148	Thu Feb 07 02:00:59 EET 2013	Thu Feb 07 02:00:59 EET 2013	1	1.0	1.0	13583	92.0	0	0.0	0	0.0	13622	93.0
148	Thu Feb 07 02:00:59 EET 2013	Thu Feb 07 02:00:59 EET 2013	2	1.0	1.0	4708	32.0	0	0.0	0	0.0	13621	92.0
149	Thu Feb 07 02:01:55 EET 2013	Thu Feb 07 02:01:55 EET 2013	1	1.0	1.0	13669	90.0	0	0.0	0	0.0	13707	90.0
149	Thu Feb 07 02:01:55 EET 2013	Thu Feb 07 02:01:55 EET 2013	2	1.0	1.0	4710	31.0	0	0.0	0	0.0	13680	91.0
149	Thu Feb 07 02:01:59 EET 2013	Thu Feb 07 02:01:59 EET 2013	1	1.0	1.0	13674	91.0	0	0.0	0	0.0	13713	91.0
149	Thu Feb 07 02:01:59 EET 2013	Thu Feb 07 02:01:59 EET 2013	2	1.0	1.0	4738	30.0	0	0.0	0	0.0	13711	90.0
