Batch Counter	ReportTime	RefreshPolicy	RefreshTime	RefreshExcessCount	RefreshCount	RefreshPredictionCount	RefreshTimeoutCount
38	Thu Feb 07 00:10:41 EET 2013	refresh-ahead	Thu Feb 07 00:10:41 EET 2013	8	50	259	0
38	Thu Feb 07 00:10:44 EET 2013	refresh-ahead	Thu Feb 07 00:10:44 EET 2013	6	45	185	0
39	Thu Feb 07 00:11:41 EET 2013	refresh-ahead	Thu Feb 07 00:11:41 EET 2013	8	51	266	0
39	Thu Feb 07 00:11:44 EET 2013	refresh-ahead	Thu Feb 07 00:11:44 EET 2013	6	46	190	0
40	Thu Feb 07 00:12:42 EET 2013	refresh-ahead	Thu Feb 07 00:12:42 EET 2013	8	52	273	0
40	Thu Feb 07 00:12:44 EET 2013	refresh-ahead	Thu Feb 07 00:12:44 EET 2013	6	48	195	0
41	Thu Feb 07 00:13:42 EET 2013	refresh-ahead	Thu Feb 07 00:13:42 EET 2013	8	53	280	0
41	Thu Feb 07 00:13:44 EET 2013	refresh-ahead	Thu Feb 07 00:13:44 EET 2013	6	49	200	0
42	Thu Feb 07 00:14:42 EET 2013	refresh-ahead	Thu Feb 07 00:14:42 EET 2013	8	54	287	0
42	Thu Feb 07 00:14:44 EET 2013	refresh-ahead	Thu Feb 07 00:14:44 EET 2013	6	50	205	0
43	Thu Feb 07 00:15:42 EET 2013	refresh-ahead	Thu Feb 07 00:15:42 EET 2013	8	55	294	0
43	Thu Feb 07 00:15:44 EET 2013	refresh-ahead	Thu Feb 07 00:15:44 EET 2013	6	51	210	0
44	Thu Feb 07 00:16:42 EET 2013	refresh-ahead	Thu Feb 07 00:16:42 EET 2013	8	56	301	0
44	Thu Feb 07 00:16:44 EET 2013	refresh-ahead	Thu Feb 07 00:16:44 EET 2013	6	52	215	0
45	Thu Feb 07 00:17:42 EET 2013	refresh-ahead	Thu Feb 07 00:17:42 EET 2013	8	57	308	0
45	Thu Feb 07 00:17:45 EET 2013	refresh-ahead	Thu Feb 07 00:17:45 EET 2013	6	53	220	0
46	Thu Feb 07 00:18:42 EET 2013	refresh-ahead	Thu Feb 07 00:18:42 EET 2013	8	58	315	0
46	Thu Feb 07 00:18:45 EET 2013	refresh-ahead	Thu Feb 07 00:18:45 EET 2013	6	55	225	0
47	Thu Feb 07 00:19:42 EET 2013	refresh-ahead	Thu Feb 07 00:19:42 EET 2013	8	59	322	0
47	Thu Feb 07 00:19:45 EET 2013	refresh-ahead	Thu Feb 07 00:19:45 EET 2013	6	56	230	0
48	Thu Feb 07 00:20:43 EET 2013	refresh-ahead	Thu Feb 07 00:20:43 EET 2013	8	60	329	0
48	Thu Feb 07 00:20:45 EET 2013	refresh-ahead	Thu Feb 07 00:20:45 EET 2013	6	57	235	0
49	Thu Feb 07 00:21:43 EET 2013	refresh-ahead	Thu Feb 07 00:21:43 EET 2013	8	61	336	0
49	Thu Feb 07 00:21:45 EET 2013	refresh-ahead	Thu Feb 07 00:21:45 EET 2013	6	58	240	0
50	Thu Feb 07 00:22:43 EET 2013	refresh-ahead	Thu Feb 07 00:22:43 EET 2013	8	62	343	0
50	Thu Feb 07 00:22:45 EET 2013	refresh-ahead	Thu Feb 07 00:22:45 EET 2013	6	59	245	0
51	Thu Feb 07 00:23:43 EET 2013	refresh-ahead	Thu Feb 07 00:23:43 EET 2013	8	63	350	0
51	Thu Feb 07 00:23:46 EET 2013	refresh-ahead	Thu Feb 07 00:23:46 EET 2013	6	60	250	0
52	Thu Feb 07 00:24:43 EET 2013	refresh-ahead	Thu Feb 07 00:24:43 EET 2013	8	64	357	0
52	Thu Feb 07 00:24:46 EET 2013	refresh-ahead	Thu Feb 07 00:24:46 EET 2013	6	61	255	0
53	Thu Feb 07 00:25:43 EET 2013	refresh-ahead	Thu Feb 07 00:25:43 EET 2013	8	65	364	0
53	Thu Feb 07 00:25:46 EET 2013	refresh-ahead	Thu Feb 07 00:25:46 EET 2013	6	62	260	0
54	Thu Feb 07 00:26:43 EET 2013	refresh-ahead	Thu Feb 07 00:26:43 EET 2013	8	66	371	0
54	Thu Feb 07 00:26:46 EET 2013	refresh-ahead	Thu Feb 07 00:26:46 EET 2013	6	63	265	0
55	Thu Feb 07 00:27:44 EET 2013	refresh-ahead	Thu Feb 07 00:27:44 EET 2013	8	67	378	0
55	Thu Feb 07 00:27:46 EET 2013	refresh-ahead	Thu Feb 07 00:27:46 EET 2013	6	64	270	0
56	Thu Feb 07 00:28:44 EET 2013	refresh-ahead	Thu Feb 07 00:28:44 EET 2013	8	69	385	0
56	Thu Feb 07 00:28:46 EET 2013	refresh-ahead	Thu Feb 07 00:28:46 EET 2013	6	65	275	0
57	Thu Feb 07 00:29:44 EET 2013	refresh-ahead	Thu Feb 07 00:29:44 EET 2013	8	70	392	0
57	Thu Feb 07 00:29:46 EET 2013	refresh-ahead	Thu Feb 07 00:29:46 EET 2013	6	66	280	0
58	Thu Feb 07 00:30:44 EET 2013	refresh-ahead	Thu Feb 07 00:30:44 EET 2013	8	71	399	0
58	Thu Feb 07 00:30:47 EET 2013	refresh-ahead	Thu Feb 07 00:30:47 EET 2013	6	67	285	0
59	Thu Feb 07 00:31:44 EET 2013	refresh-ahead	Thu Feb 07 00:31:44 EET 2013	8	72	406	0
59	Thu Feb 07 00:31:47 EET 2013	refresh-ahead	Thu Feb 07 00:31:47 EET 2013	6	68	290	0
60	Thu Feb 07 00:32:44 EET 2013	refresh-ahead	Thu Feb 07 00:32:44 EET 2013	8	73	413	0
60	Thu Feb 07 00:32:47 EET 2013	refresh-ahead	Thu Feb 07 00:32:47 EET 2013	6	69	295	0
61	Thu Feb 07 00:33:44 EET 2013	refresh-ahead	Thu Feb 07 00:33:44 EET 2013	8	74	420	0
61	Thu Feb 07 00:33:47 EET 2013	refresh-ahead	Thu Feb 07 00:33:47 EET 2013	6	70	300	0
62	Thu Feb 07 00:34:44 EET 2013	refresh-ahead	Thu Feb 07 00:34:44 EET 2013	8	75	427	0
62	Thu Feb 07 00:34:47 EET 2013	refresh-ahead	Thu Feb 07 00:34:47 EET 2013	6	71	305	0
63	Thu Feb 07 00:35:45 EET 2013	refresh-ahead	Thu Feb 07 00:35:45 EET 2013	8	76	434	0
63	Thu Feb 07 00:35:47 EET 2013	refresh-ahead	Thu Feb 07 00:35:47 EET 2013	6	72	310	0
64	Thu Feb 07 00:36:45 EET 2013	refresh-ahead	Thu Feb 07 00:36:45 EET 2013	8	77	441	0
64	Thu Feb 07 00:36:47 EET 2013	refresh-ahead	Thu Feb 07 00:36:47 EET 2013	6	74	315	0
65	Thu Feb 07 00:37:45 EET 2013	refresh-ahead	Thu Feb 07 00:37:45 EET 2013	8	78	448	0
65	Thu Feb 07 00:37:47 EET 2013	refresh-ahead	Thu Feb 07 00:37:47 EET 2013	6	75	320	0
66	Thu Feb 07 00:38:45 EET 2013	refresh-ahead	Thu Feb 07 00:38:45 EET 2013	8	79	455	0
66	Thu Feb 07 00:38:48 EET 2013	refresh-ahead	Thu Feb 07 00:38:48 EET 2013	6	76	325	0
67	Thu Feb 07 00:39:45 EET 2013	refresh-ahead	Thu Feb 07 00:39:45 EET 2013	8	80	462	0
67	Thu Feb 07 00:39:48 EET 2013	refresh-ahead	Thu Feb 07 00:39:48 EET 2013	6	77	330	0
68	Thu Feb 07 00:40:45 EET 2013	refresh-ahead	Thu Feb 07 00:40:45 EET 2013	8	81	469	0
68	Thu Feb 07 00:40:48 EET 2013	refresh-ahead	Thu Feb 07 00:40:48 EET 2013	6	78	335	0
69	Thu Feb 07 00:41:45 EET 2013	refresh-ahead	Thu Feb 07 00:41:45 EET 2013	8	82	476	0
69	Thu Feb 07 00:41:48 EET 2013	refresh-ahead	Thu Feb 07 00:41:48 EET 2013	6	80	340	0
70	Thu Feb 07 00:42:45 EET 2013	refresh-ahead	Thu Feb 07 00:42:45 EET 2013	8	83	483	0
70	Thu Feb 07 00:42:48 EET 2013	refresh-ahead	Thu Feb 07 00:42:48 EET 2013	6	81	345	0
71	Thu Feb 07 00:43:46 EET 2013	refresh-ahead	Thu Feb 07 00:43:46 EET 2013	8	84	490	0
71	Thu Feb 07 00:43:48 EET 2013	refresh-ahead	Thu Feb 07 00:43:48 EET 2013	6	83	350	0
72	Thu Feb 07 00:44:46 EET 2013	refresh-ahead	Thu Feb 07 00:44:46 EET 2013	8	85	497	0
72	Thu Feb 07 00:44:48 EET 2013	refresh-ahead	Thu Feb 07 00:44:48 EET 2013	6	84	355	0
73	Thu Feb 07 00:45:46 EET 2013	refresh-ahead	Thu Feb 07 00:45:46 EET 2013	8	86	504	0
73	Thu Feb 07 00:45:48 EET 2013	refresh-ahead	Thu Feb 07 00:45:48 EET 2013	6	85	360	0
74	Thu Feb 07 00:46:46 EET 2013	refresh-ahead	Thu Feb 07 00:46:46 EET 2013	8	88	511	0
74	Thu Feb 07 00:46:49 EET 2013	refresh-ahead	Thu Feb 07 00:46:49 EET 2013	6	86	365	0
75	Thu Feb 07 00:47:46 EET 2013	refresh-ahead	Thu Feb 07 00:47:46 EET 2013	8	89	518	0
75	Thu Feb 07 00:47:49 EET 2013	refresh-ahead	Thu Feb 07 00:47:49 EET 2013	6	87	370	0
76	Thu Feb 07 00:48:46 EET 2013	refresh-ahead	Thu Feb 07 00:48:46 EET 2013	8	90	525	0
76	Thu Feb 07 00:48:49 EET 2013	refresh-ahead	Thu Feb 07 00:48:49 EET 2013	6	88	375	0
77	Thu Feb 07 00:49:46 EET 2013	refresh-ahead	Thu Feb 07 00:49:46 EET 2013	8	91	532	0
77	Thu Feb 07 00:49:49 EET 2013	refresh-ahead	Thu Feb 07 00:49:49 EET 2013	6	89	380	0
78	Thu Feb 07 00:50:46 EET 2013	refresh-ahead	Thu Feb 07 00:50:46 EET 2013	8	92	539	0
78	Thu Feb 07 00:50:49 EET 2013	refresh-ahead	Thu Feb 07 00:50:49 EET 2013	6	90	385	0
79	Thu Feb 07 00:51:47 EET 2013	refresh-ahead	Thu Feb 07 00:51:47 EET 2013	8	93	546	0
79	Thu Feb 07 00:51:49 EET 2013	refresh-ahead	Thu Feb 07 00:51:49 EET 2013	6	91	390	0
80	Thu Feb 07 00:52:47 EET 2013	refresh-ahead	Thu Feb 07 00:52:47 EET 2013	8	94	553	0
80	Thu Feb 07 00:52:49 EET 2013	refresh-ahead	Thu Feb 07 00:52:49 EET 2013	6	92	395	0
81	Thu Feb 07 00:53:47 EET 2013	refresh-ahead	Thu Feb 07 00:53:47 EET 2013	8	95	560	0
81	Thu Feb 07 00:53:50 EET 2013	refresh-ahead	Thu Feb 07 00:53:50 EET 2013	6	94	400	0
82	Thu Feb 07 00:54:47 EET 2013	refresh-ahead	Thu Feb 07 00:54:47 EET 2013	8	96	567	0
82	Thu Feb 07 00:54:50 EET 2013	refresh-ahead	Thu Feb 07 00:54:50 EET 2013	6	95	405	0
83	Thu Feb 07 00:55:47 EET 2013	refresh-ahead	Thu Feb 07 00:55:47 EET 2013	8	97	574	0
83	Thu Feb 07 00:55:50 EET 2013	refresh-ahead	Thu Feb 07 00:55:50 EET 2013	6	96	410	0
84	Thu Feb 07 00:56:47 EET 2013	refresh-ahead	Thu Feb 07 00:56:47 EET 2013	8	98	581	0
84	Thu Feb 07 00:56:50 EET 2013	refresh-ahead	Thu Feb 07 00:56:50 EET 2013	6	97	415	0
85	Thu Feb 07 00:57:47 EET 2013	refresh-ahead	Thu Feb 07 00:57:47 EET 2013	8	99	588	0
85	Thu Feb 07 00:57:50 EET 2013	refresh-ahead	Thu Feb 07 00:57:50 EET 2013	6	98	420	0
86	Thu Feb 07 00:58:47 EET 2013	refresh-ahead	Thu Feb 07 00:58:47 EET 2013	8	100	595	0
86	Thu Feb 07 00:58:50 EET 2013	refresh-ahead	Thu Feb 07 00:58:50 EET 2013	6	99	425	0
87	Thu Feb 07 00:59:48 EET 2013	refresh-ahead	Thu Feb 07 00:59:48 EET 2013	8	101	602	0
87	Thu Feb 07 00:59:50 EET 2013	refresh-ahead	Thu Feb 07 00:59:50 EET 2013	6	100	430	0
