Batch Counter	ReportTime	RefreshPolicy	RefreshTime	RefreshExcessCount	RefreshCount	RefreshPredictionCount	RefreshTimeoutCount
28	Thu Feb 07 00:00:40 EET 2013	refresh-ahead	Thu Feb 07 00:00:40 EET 2013	8	40	189	0
28	Thu Feb 07 00:00:42 EET 2013	refresh-ahead	Thu Feb 07 00:00:42 EET 2013	6	35	135	0
29	Thu Feb 07 00:01:40 EET 2013	refresh-ahead	Thu Feb 07 00:01:40 EET 2013	8	41	196	0
29	Thu Feb 07 00:01:42 EET 2013	refresh-ahead	Thu Feb 07 00:01:42 EET 2013	6	36	140	0
30	Thu Feb 07 00:02:40 EET 2013	refresh-ahead	Thu Feb 07 00:02:40 EET 2013	8	42	203	0
30	Thu Feb 07 00:02:42 EET 2013	refresh-ahead	Thu Feb 07 00:02:42 EET 2013	6	37	145	0
31	Thu Feb 07 00:03:40 EET 2013	refresh-ahead	Thu Feb 07 00:03:40 EET 2013	8	43	210	0
31	Thu Feb 07 00:03:43 EET 2013	refresh-ahead	Thu Feb 07 00:03:43 EET 2013	6	38	150	0
32	Thu Feb 07 00:04:41 EET 2013	refresh-ahead	Thu Feb 07 00:04:41 EET 2013	8	44	217	0
32	Thu Feb 07 00:04:43 EET 2013	refresh-ahead	Thu Feb 07 00:04:43 EET 2013	6	39	155	0
33	Thu Feb 07 00:05:41 EET 2013	refresh-ahead	Thu Feb 07 00:05:41 EET 2013	8	45	224	0
33	Thu Feb 07 00:05:43 EET 2013	refresh-ahead	Thu Feb 07 00:05:43 EET 2013	6	40	160	0
34	Thu Feb 07 00:06:41 EET 2013	refresh-ahead	Thu Feb 07 00:06:41 EET 2013	8	46	231	0
34	Thu Feb 07 00:06:43 EET 2013	refresh-ahead	Thu Feb 07 00:06:43 EET 2013	6	41	165	0
35	Thu Feb 07 00:07:41 EET 2013	refresh-ahead	Thu Feb 07 00:07:41 EET 2013	8	47	238	0
35	Thu Feb 07 00:07:43 EET 2013	refresh-ahead	Thu Feb 07 00:07:43 EET 2013	6	42	170	0
36	Thu Feb 07 00:08:41 EET 2013	refresh-ahead	Thu Feb 07 00:08:41 EET 2013	8	48	245	0
36	Thu Feb 07 00:08:43 EET 2013	refresh-ahead	Thu Feb 07 00:08:43 EET 2013	6	43	175	0
37	Thu Feb 07 00:09:41 EET 2013	refresh-ahead	Thu Feb 07 00:09:41 EET 2013	8	49	252	0
37	Thu Feb 07 00:09:43 EET 2013	refresh-ahead	Thu Feb 07 00:09:43 EET 2013	6	44	180	0
