Batch Counter	Report Time	RefreshTime	Node Id	Tx Success	Rx Success	PacketsSent	Current Packets Sent	PacketsResent	Current Packet Resent	PacketsRepeated	Current Repeated	PacketsReceived	Current Packets Received
28	Thu Feb 07 00:00:40 EET 2013	Thu Feb 07 00:00:40 EET 2013	1	1.0	1.0	2623	91.0	0	0.0	0	0.0	2654	91.0
28	Thu Feb 07 00:00:40 EET 2013	Thu Feb 07 00:00:40 EET 2013	2	1.0	1.0	930	31.0	0	0.0	0	0.0	2633	91.0
28	Thu Feb 07 00:00:42 EET 2013	Thu Feb 07 00:00:42 EET 2013	1	1.0	1.0	2625	91.0	0	0.0	0	0.0	2657	91.0
28	Thu Feb 07 00:00:42 EET 2013	Thu Feb 07 00:00:42 EET 2013	2	1.0	1.0	959	31.0	0	0.0	0	0.0	2663	91.0
29	Thu Feb 07 00:01:40 EET 2013	Thu Feb 07 00:01:40 EET 2013	1	1.0	1.0	2714	91.0	0	0.0	0	0.0	2745	91.0
29	Thu Feb 07 00:01:40 EET 2013	Thu Feb 07 00:01:40 EET 2013	2	1.0	1.0	961	31.0	0	0.0	0	0.0	2724	91.0
29	Thu Feb 07 00:01:42 EET 2013	Thu Feb 07 00:01:42 EET 2013	1	1.0	1.0	2716	91.0	0	0.0	0	0.0	2748	91.0
29	Thu Feb 07 00:01:42 EET 2013	Thu Feb 07 00:01:42 EET 2013	2	1.0	1.0	990	31.0	0	0.0	0	0.0	2754	91.0
30	Thu Feb 07 00:02:40 EET 2013	Thu Feb 07 00:02:40 EET 2013	1	1.0	1.0	2805	91.0	0	0.0	0	0.0	2836	91.0
30	Thu Feb 07 00:02:40 EET 2013	Thu Feb 07 00:02:40 EET 2013	2	1.0	1.0	992	31.0	0	0.0	0	0.0	2815	91.0
30	Thu Feb 07 00:02:42 EET 2013	Thu Feb 07 00:02:42 EET 2013	1	1.0	1.0	2807	91.0	0	0.0	0	0.0	2839	91.0
30	Thu Feb 07 00:02:42 EET 2013	Thu Feb 07 00:02:42 EET 2013	2	1.0	1.0	1021	31.0	0	0.0	0	0.0	2845	91.0
31	Thu Feb 07 00:03:40 EET 2013	Thu Feb 07 00:03:40 EET 2013	1	1.0	1.0	2896	91.0	0	0.0	0	0.0	2927	91.0
31	Thu Feb 07 00:03:40 EET 2013	Thu Feb 07 00:03:40 EET 2013	2	1.0	1.0	1023	31.0	0	0.0	0	0.0	2906	91.0
31	Thu Feb 07 00:03:42 EET 2013	Thu Feb 07 00:03:42 EET 2013	1	1.0	1.0	2898	91.0	0	0.0	0	0.0	2930	91.0
31	Thu Feb 07 00:03:42 EET 2013	Thu Feb 07 00:03:42 EET 2013	2	1.0	1.0	1052	31.0	0	0.0	0	0.0	2936	91.0
32	Thu Feb 07 00:04:40 EET 2013	Thu Feb 07 00:04:40 EET 2013	1	1.0	1.0	2987	91.0	0	0.0	0	0.0	3018	91.0
32	Thu Feb 07 00:04:40 EET 2013	Thu Feb 07 00:04:40 EET 2013	2	1.0	1.0	1054	31.0	0	0.0	0	0.0	2997	91.0
32	Thu Feb 07 00:04:43 EET 2013	Thu Feb 07 00:04:43 EET 2013	1	1.0	1.0	2989	91.0	0	0.0	0	0.0	3021	91.0
32	Thu Feb 07 00:04:43 EET 2013	Thu Feb 07 00:04:43 EET 2013	2	1.0	1.0	1083	31.0	0	0.0	0	0.0	3027	91.0
33	Thu Feb 07 00:05:41 EET 2013	Thu Feb 07 00:05:41 EET 2013	1	1.0	1.0	3078	91.0	0	0.0	0	0.0	3109	91.0
33	Thu Feb 07 00:05:41 EET 2013	Thu Feb 07 00:05:41 EET 2013	2	1.0	1.0	1085	31.0	0	0.0	0	0.0	3088	91.0
33	Thu Feb 07 00:05:43 EET 2013	Thu Feb 07 00:05:43 EET 2013	1	1.0	1.0	3081	92.0	0	0.0	0	0.0	3113	92.0
33	Thu Feb 07 00:05:43 EET 2013	Thu Feb 07 00:05:43 EET 2013	2	1.0	1.0	1114	31.0	0	0.0	0	0.0	3119	92.0
34	Thu Feb 07 00:06:41 EET 2013	Thu Feb 07 00:06:41 EET 2013	1	1.0	1.0	3170	92.0	0	0.0	0	0.0	3201	92.0
34	Thu Feb 07 00:06:41 EET 2013	Thu Feb 07 00:06:41 EET 2013	2	1.0	1.0	1116	31.0	0	0.0	0	0.0	3180	92.0
34	Thu Feb 07 00:06:43 EET 2013	Thu Feb 07 00:06:43 EET 2013	1	1.0	1.0	3172	91.0	0	0.0	0	0.0	3204	91.0
34	Thu Feb 07 00:06:43 EET 2013	Thu Feb 07 00:06:43 EET 2013	2	1.0	1.0	1145	31.0	0	0.0	0	0.0	3210	91.0
35	Thu Feb 07 00:07:41 EET 2013	Thu Feb 07 00:07:41 EET 2013	1	1.0	1.0	3261	91.0	0	0.0	0	0.0	3292	91.0
35	Thu Feb 07 00:07:41 EET 2013	Thu Feb 07 00:07:41 EET 2013	2	1.0	1.0	1147	31.0	0	0.0	0	0.0	3271	91.0
35	Thu Feb 07 00:07:43 EET 2013	Thu Feb 07 00:07:43 EET 2013	1	1.0	1.0	3263	91.0	0	0.0	0	0.0	3295	91.0
35	Thu Feb 07 00:07:43 EET 2013	Thu Feb 07 00:07:43 EET 2013	2	1.0	1.0	1176	31.0	0	0.0	0	0.0	3301	91.0
36	Thu Feb 07 00:08:41 EET 2013	Thu Feb 07 00:08:41 EET 2013	1	1.0	1.0	3352	91.0	0	0.0	0	0.0	3383	91.0
36	Thu Feb 07 00:08:41 EET 2013	Thu Feb 07 00:08:41 EET 2013	2	1.0	1.0	1178	31.0	0	0.0	0	0.0	3362	91.0
36	Thu Feb 07 00:08:43 EET 2013	Thu Feb 07 00:08:43 EET 2013	1	1.0	1.0	3354	91.0	0	0.0	0	0.0	3386	91.0
36	Thu Feb 07 00:08:43 EET 2013	Thu Feb 07 00:08:43 EET 2013	2	1.0	1.0	1207	31.0	0	0.0	0	0.0	3392	91.0
37	Thu Feb 07 00:09:41 EET 2013	Thu Feb 07 00:09:41 EET 2013	1	1.0	1.0	3443	91.0	0	0.0	0	0.0	3474	91.0
37	Thu Feb 07 00:09:41 EET 2013	Thu Feb 07 00:09:41 EET 2013	2	1.0	1.0	1209	31.0	0	0.0	0	0.0	3453	91.0
37	Thu Feb 07 00:09:43 EET 2013	Thu Feb 07 00:09:43 EET 2013	1	1.0	1.0	3445	91.0	0	0.0	0	0.0	3477	91.0
37	Thu Feb 07 00:09:43 EET 2013	Thu Feb 07 00:09:43 EET 2013	2	1.0	1.0	1238	31.0	0	0.0	0	0.0	3483	91.0
38	Thu Feb 07 00:10:41 EET 2013	Thu Feb 07 00:10:41 EET 2013	1	1.0	1.0	3534	91.0	0	0.0	0	0.0	3565	91.0
38	Thu Feb 07 00:10:41 EET 2013	Thu Feb 07 00:10:41 EET 2013	2	1.0	1.0	1240	31.0	0	0.0	0	0.0	3544	91.0
38	Thu Feb 07 00:10:43 EET 2013	Thu Feb 07 00:10:43 EET 2013	1	1.0	1.0	3536	91.0	0	0.0	0	0.0	3568	91.0
38	Thu Feb 07 00:10:43 EET 2013	Thu Feb 07 00:10:43 EET 2013	2	1.0	1.0	1269	31.0	0	0.0	0	0.0	3574	91.0
39	Thu Feb 07 00:11:41 EET 2013	Thu Feb 07 00:11:41 EET 2013	1	1.0	1.0	3625	91.0	0	0.0	0	0.0	3656	91.0
39	Thu Feb 07 00:11:41 EET 2013	Thu Feb 07 00:11:41 EET 2013	2	1.0	1.0	1271	31.0	0	0.0	0	0.0	3635	91.0
39	Thu Feb 07 00:11:44 EET 2013	Thu Feb 07 00:11:44 EET 2013	1	1.0	1.0	3627	91.0	0	0.0	0	0.0	3659	91.0
39	Thu Feb 07 00:11:44 EET 2013	Thu Feb 07 00:11:44 EET 2013	2	1.0	1.0	1300	31.0	0	0.0	0	0.0	3665	91.0
40	Thu Feb 07 00:12:41 EET 2013	Thu Feb 07 00:12:41 EET 2013	1	1.0	1.0	3716	91.0	0	0.0	0	0.0	3747	91.0
40	Thu Feb 07 00:12:41 EET 2013	Thu Feb 07 00:12:41 EET 2013	2	1.0	1.0	1302	31.0	0	0.0	0	0.0	3726	91.0
40	Thu Feb 07 00:12:44 EET 2013	Thu Feb 07 00:12:44 EET 2013	1	1.0	1.0	3719	92.0	0	0.0	0	0.0	3751	92.0
40	Thu Feb 07 00:12:44 EET 2013	Thu Feb 07 00:12:44 EET 2013	2	1.0	1.0	1330	30.0	0	0.0	0	0.0	3740	75.0
41	Thu Feb 07 00:13:42 EET 2013	Thu Feb 07 00:13:42 EET 2013	1	1.0	1.0	3807	91.0	0	0.0	0	0.0	3839	92.0
41	Thu Feb 07 00:13:42 EET 2013	Thu Feb 07 00:13:42 EET 2013	2	1.0	1.0	1334	32.0	0	0.0	0	0.0	3817	91.0
41	Thu Feb 07 00:13:44 EET 2013	Thu Feb 07 00:13:44 EET 2013	1	1.0	1.0	3810	91.0	0	0.0	0	0.0	3843	92.0
41	Thu Feb 07 00:13:44 EET 2013	Thu Feb 07 00:13:44 EET 2013	2	1.0	1.0	1363	33.0	0	0.0	0	0.0	3848	108.0
42	Thu Feb 07 00:14:42 EET 2013	Thu Feb 07 00:14:42 EET 2013	1	1.0	1.0	3899	92.0	0	0.0	0	0.0	3931	92.0
42	Thu Feb 07 00:14:42 EET 2013	Thu Feb 07 00:14:42 EET 2013	2	1.0	1.0	1365	31.0	0	0.0	0	0.0	3909	92.0
42	Thu Feb 07 00:14:44 EET 2013	Thu Feb 07 00:14:44 EET 2013	1	1.0	1.0	3901	91.0	0	0.0	0	0.0	3934	91.0
42	Thu Feb 07 00:14:44 EET 2013	Thu Feb 07 00:14:44 EET 2013	2	1.0	1.0	1393	30.0	0	0.0	0	0.0	3939	91.0
43	Thu Feb 07 00:15:42 EET 2013	Thu Feb 07 00:15:42 EET 2013	1	1.0	1.0	3990	91.0	0	0.0	0	0.0	4022	91.0
43	Thu Feb 07 00:15:42 EET 2013	Thu Feb 07 00:15:42 EET 2013	2	1.0	1.0	1396	31.0	0	0.0	0	0.0	4000	91.0
43	Thu Feb 07 00:15:44 EET 2013	Thu Feb 07 00:15:44 EET 2013	1	1.0	1.0	3992	91.0	0	0.0	0	0.0	4025	91.0
43	Thu Feb 07 00:15:44 EET 2013	Thu Feb 07 00:15:44 EET 2013	2	1.0	1.0	1425	32.0	0	0.0	0	0.0	4030	91.0
44	Thu Feb 07 00:16:42 EET 2013	Thu Feb 07 00:16:42 EET 2013	1	1.0	1.0	4081	91.0	0	0.0	0	0.0	4113	91.0
44	Thu Feb 07 00:16:42 EET 2013	Thu Feb 07 00:16:42 EET 2013	2	1.0	1.0	1427	31.0	0	0.0	0	0.0	4091	91.0
44	Thu Feb 07 00:16:44 EET 2013	Thu Feb 07 00:16:44 EET 2013	1	1.0	1.0	4083	91.0	0	0.0	0	0.0	4116	91.0
44	Thu Feb 07 00:16:44 EET 2013	Thu Feb 07 00:16:44 EET 2013	2	1.0	1.0	1456	31.0	0	0.0	0	0.0	4121	91.0
45	Thu Feb 07 00:17:42 EET 2013	Thu Feb 07 00:17:42 EET 2013	1	1.0	1.0	4172	91.0	0	0.0	0	0.0	4204	91.0
45	Thu Feb 07 00:17:42 EET 2013	Thu Feb 07 00:17:42 EET 2013	2	1.0	1.0	1458	31.0	0	0.0	0	0.0	4182	91.0
45	Thu Feb 07 00:17:45 EET 2013	Thu Feb 07 00:17:45 EET 2013	1	1.0	1.0	4174	91.0	0	0.0	0	0.0	4207	91.0
45	Thu Feb 07 00:17:45 EET 2013	Thu Feb 07 00:17:45 EET 2013	2	1.0	1.0	1486	30.0	0	0.0	0	0.0	4211	90.0
46	Thu Feb 07 00:18:42 EET 2013	Thu Feb 07 00:18:42 EET 2013	1	1.0	1.0	4263	91.0	0	0.0	0	0.0	4295	91.0
46	Thu Feb 07 00:18:42 EET 2013	Thu Feb 07 00:18:42 EET 2013	2	1.0	1.0	1489	31.0	0	0.0	0	0.0	4273	91.0
46	Thu Feb 07 00:18:45 EET 2013	Thu Feb 07 00:18:45 EET 2013	1	1.0	1.0	4265	91.0	0	0.0	0	0.0	4298	91.0
46	Thu Feb 07 00:18:45 EET 2013	Thu Feb 07 00:18:45 EET 2013	2	1.0	1.0	1518	32.0	0	0.0	0	0.0	4285	74.0
47	Thu Feb 07 00:19:42 EET 2013	Thu Feb 07 00:19:42 EET 2013	1	1.0	1.0	4355	92.0	0	0.0	0	0.0	4388	93.0
47	Thu Feb 07 00:19:42 EET 2013	Thu Feb 07 00:19:42 EET 2013	2	1.0	1.0	1522	33.0	0	0.0	0	0.0	4365	92.0
47	Thu Feb 07 00:19:45 EET 2013	Thu Feb 07 00:19:45 EET 2013	1	1.0	1.0	4358	93.0	0	0.0	0	0.0	4392	94.0
47	Thu Feb 07 00:19:45 EET 2013	Thu Feb 07 00:19:45 EET 2013	2	1.0	1.0	1552	34.0	0	0.0	0	0.0	4396	111.0
48	Thu Feb 07 00:20:43 EET 2013	Thu Feb 07 00:20:43 EET 2013	1	1.0	1.0	4446	91.0	0	0.0	0	0.0	4480	92.0
48	Thu Feb 07 00:20:43 EET 2013	Thu Feb 07 00:20:43 EET 2013	2	1.0	1.0	1554	32.0	0	0.0	0	0.0	4456	91.0
48	Thu Feb 07 00:20:45 EET 2013	Thu Feb 07 00:20:45 EET 2013	1	1.0	1.0	4449	91.0	0	0.0	0	0.0	4484	92.0
48	Thu Feb 07 00:20:45 EET 2013	Thu Feb 07 00:20:45 EET 2013	2	1.0	1.0	1583	31.0	0	0.0	0	0.0	4487	91.0
49	Thu Feb 07 00:21:43 EET 2013	Thu Feb 07 00:21:43 EET 2013	1	1.0	1.0	4537	91.0	0	0.0	0	0.0	4571	91.0
49	Thu Feb 07 00:21:43 EET 2013	Thu Feb 07 00:21:43 EET 2013	2	1.0	1.0	1585	31.0	0	0.0	0	0.0	4547	91.0
49	Thu Feb 07 00:21:45 EET 2013	Thu Feb 07 00:21:45 EET 2013	1	1.0	1.0	4540	91.0	0	0.0	0	0.0	4575	91.0
49	Thu Feb 07 00:21:45 EET 2013	Thu Feb 07 00:21:45 EET 2013	2	1.0	1.0	1614	31.0	0	0.0	0	0.0	4578	91.0
50	Thu Feb 07 00:22:43 EET 2013	Thu Feb 07 00:22:43 EET 2013	1	1.0	1.0	4629	91.0	0	0.0	0	0.0	4663	91.0
